Chain,Chain ID,Number of facilities,Number of states and territories with operations,Number of Special Focus Facilities (SFF),Number of SFF candidates,Number of facilities with an abuse icon,Percentage of facilities with an abuse icon,Percent of facilities classified as for-profit,Percent of facilities classified as non-profit,Percent of facilities classified as government-owned,Average overall 5-star rating,Average health inspection rating,Average staffing rating,Average quality rating,Average total nurse hours per resident day,Average total weekend nurse hours per resident day,Average total Registered Nurse hours per resident day,Average total nursing staff turnover percentage,Average Registered Nurse turnover percentage,Average number of administrators who have left the nursing home,Total number of fines,Average number of fines,Total amount of fines in dollars,Average amount of fines in dollars,Total number of payment denials,Average number of payment denials,Average percentage of short-stay residents who were re-hospitalized after a nursing home admission,Average percentage of short-stay residents who have had an outpatient emergency department visit,Average percentage of short-stay residents who newly received an antipsychotic medication,Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened,Average percentage of short-stay residents who are at or above an expected ability to care for themselves and move around at discharge ,Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine,"Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days",Average percentage of long-stay residents who received an antipsychotic medication,Average percentage of long-stay residents experiencing one or more falls with major injury,Average percentage of long-stay residents with pressure ulcers,Average percentage of long-stay residents with a urinary tract infection,Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder,Average percentage of long-stay residents whose ability to move independently worsened,Average percentage of long-stay residents whose need for help with activities of daily living has increased,Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine,Average percentage of long-stay residents who were physically restrained,Average percentage of long-stay residents with new or worsened bowel or bladder incontinence,Average percentage of long-stay residents who lose too much weight,Average percentage of long-stay residents who have symptoms of depression,Average percentage of long-stay residents who used antianxiety or hypnotic medication,Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF
National,,14735,53,87,440,1471,9.98,73.6,19.9,6.4,3.0,2.8,2.9,3.5,3.9,3.4,0.7,46.4,43.6,0.5,16430,1.1,510265264.00,34645.93,2730,0.2,23.6,12.0,1.5,2.5,53.6,79.7,81.7,1.86,1.79,14.5,3.3,5.2,1.8,1.1,17.9,15.5,95.4,93.4,0.1,20.2,5.4,10.8,19.7,10.8
COMMUNITY CARE CENTERS,154,11,1,0,0,3,27.27,100.0,0.0,0.0,2.2,2.5,1.9,2.4,3.1,2.7,0.4,56.7,54.5,0.5,17,1.5,541845.00,49258.64,4,0.4,19.2,9.6,1.7,2.4,57.6,74.5,80.9,2.30,2.92,19.7,4.8,6.1,2.1,1.3,31.1,28.9,95.7,93.3,0.3,23.1,6.7,4.4,27.5,11.2
HERITAGE HALL,265,16,1,0,0,1,6.25,100.0,0.0,0.0,3.6,3.6,2.1,3.6,3.3,2.7,0.4,38.0,38.7,0.4,6,0.4,206942.00,12933.88,0,0.0,20.7,11.3,1.1,2.4,54.6,75.9,84.0,1.46,1.66,11.2,3.8,3.6,1.6,0.3,21.8,20.3,97.5,98.0,0.0,19.3,4.4,5.7,20.5,11.0
ASCENSION HEALTH,809,2,2,0,0,0,0.00,50.0,50.0,0.0,4.5,4.0,3.0,5.0,5.6,4.6,2.0,6.9,0.0,0.0,1,0.5,32175.00,16087.50,0,0.0,15.0,15.9,0.4,3.7,59.4,87.8,88.3,1.04,1.63,9.0,0.0,0.9,1.5,3.2,26.6,25.9,,98.5,0.0,17.7,8.1,0.0,33.9,10.5
ELMBROOK MANAGEMENT COMPANY,198,11,1,0,0,2,18.18,100.0,0.0,0.0,3.2,3.5,3.0,2.5,3.7,3.2,0.5,55.5,47.9,0.3,5,0.5,113030.00,10275.45,0,0.0,28.8,13.7,4.4,2.2,50.2,76.7,66.3,2.77,3.03,11.8,4.1,4.6,2.9,2.0,17.8,15.3,99.2,97.4,0.1,11.5,2.6,2.6,26.3,12.3
ROLLINS-NELSON HEALTHCARE MANAGEMENT,456,10,1,0,1,4,40.00,100.0,0.0,0.0,2.1,2.0,2.8,4.1,4.4,3.9,0.4,39.0,19.7,0.3,23,2.3,559469.00,55946.90,5,0.5,16.4,3.3,7.3,0.0,58.5,96.1,93.7,3.62,0.80,45.3,0.6,3.3,0.8,2.8,15.6,18.7,99.8,98.2,0.1,3.9,1.1,1.5,18.9,10.0
UNITED CHURCH HOMES,533,6,1,0,0,0,0.00,0.0,100.0,0.0,3.2,2.7,2.8,4.3,3.8,3.4,0.5,48.8,51.1,0.2,4,0.7,244798.00,40799.67,2,0.3,20.8,11.4,1.1,1.7,43.2,85.2,81.8,1.48,1.80,8.5,5.0,4.0,0.6,0.2,10.5,7.5,97.7,95.8,0.0,25.3,7.2,6.8,23.9,10.7
IMPERIAL HEALTHCARE GROUP,282,13,1,0,0,1,7.69,100.0,0.0,0.0,2.3,2.5,2.0,2.7,3.3,3.0,0.4,54.0,51.2,0.8,16,1.2,410720.00,31593.85,2,0.2,26.4,10.9,1.2,3.1,59.4,55.4,65.1,2.49,1.81,17.1,3.8,5.8,1.8,1.0,20.6,18.1,89.5,78.6,0.0,27.3,6.5,6.0,18.9,10.3
ALLEGIANT HEALTHCARE,22,3,2,0,0,1,33.33,100.0,0.0,0.0,2.0,2.3,2.0,4.3,4.0,3.4,0.5,73.8,76.2,1.3,4,1.3,49160.00,16386.67,0,0.0,26.6,7.3,0.0,1.7,51.0,79.6,82.4,1.85,2.17,7.1,1.1,5.1,0.5,5.7,17.0,11.8,98.9,96.1,0.0,21.2,3.3,2.1,20.6,10.5
MADISON CREEK PARTNERS,328,12,2,0,0,3,25.00,100.0,0.0,0.0,3.0,2.9,2.8,3.8,3.5,3.2,0.6,51.0,62.6,0.7,24,2.0,203407.00,16950.58,1,0.1,22.0,17.3,2.8,1.3,35.0,87.6,84.2,1.65,1.72,23.1,2.3,3.6,0.5,0.5,14.3,14.1,96.6,95.9,0.0,17.0,4.6,4.0,14.3,10.7
