STATE,CY_Qtr,facility_count,avg_days_reported,total_resident_days,avg_daily_census,MDScensus,Total_Nurse_Hours,Total_RN_Hours,Total_Nurse_Care_Hours,Total_RN_Care_Hours,Total_Nurse_Assistant_Hours,Total_Contract_Hours,Total_Nurse_HPRD,RN_HPRD,Nurse_Care_HPRD,RN_Care_HPRD,Nurse_Assistant_HPRD,Contract_Percentage,Direct_Care_Percentage,Total_RN_Percentage,Nurse_Aide_Percentage
AK,2017Q1,10,90.0,41468.0,46.075555555555546,460.75555555555553,274098.75999999995,73167.38,246910.85,46700.22,171208.73,1274.75,6.609886177293333,1.7644299218674642,5.954250265264782,1.1261748818365969,4.128695138419987,0.4650695975421414,90.08098030067704,26.693801898264702,62.46242412771223
AK,2017Q2,11,91.0,43431.0,43.38761238761239,477.2637362637363,290031.4,78769.46999999999,262133.49,51596.060000000005,181273.47,5657.0,6.677981165526928,1.8136692684948537,6.035631000897976,1.188000736800903,4.17382675968778,1.9504784654351215,90.38107253214652,27.158945548654383,62.50132571852564
AK,2017Q3,12,92.0,47220.0,42.77173913043479,513.2608695652174,307766.96,82836.51000000001,278660.25000000006,55157.74,190367.72000000003,5514.63,6.517724692926726,1.7542674714104196,5.90131829733164,1.168101228293096,4.031506141465481,1.7918200186270803,90.5426138010396,26.915335551288543,61.85450186075855
AK,2017Q4,13,92.0,48686.0,40.70735785953177,529.195652173913,323639.77,89194.34999999999,289849.26000000007,57007.34,199462.91,7790.1,6.647491475988991,1.832032822577332,5.953441646469212,1.1709185392104506,4.096925399498829,2.407028036140305,89.55922197077327,27.559761892056716,61.631149348548846
AK,2018Q1,10,90.0,38432.0,42.70222222222223,427.02222222222224,248627.58,67341.94,222381.19,44325.31,156463.73,5386.81,6.469285491257286,1.7522361573688594,5.78635486053289,1.15334382805995,4.071183649042465,2.166618039720292,89.44349214998594,27.08546654397714,62.930962848128125
AK,2018Q2,10,91.0,43665.0,47.98351648351648,479.8351648351649,276751.16000000003,77017.87999999999,249297.18,51305.5,170698.99000000002,5356.04,6.338054734913547,1.763835566242986,5.709313637925112,1.1749799610672162,3.9092863849765274,1.93532702807822,90.0799042721266,27.82928895401919,61.67959332130713
AK,2018Q3,12,92.0,48832.0,44.23188405797101,530.7826086956521,307974.84,85940.84999999998,281555.25,61146.34,192845.55,12247.98,6.306824213630406,1.759928940039318,5.765793946592399,1.2521776703800789,3.9491634583879422,3.9769417527743514,91.4215102766187,27.9051529014513,62.61730666050513
AK,2018Q4,11,92.0,45554.0,45.01383399209487,495.1521739130435,288547.73999999993,85097.72000000002,263875.04000000004,61743.91,175204.54,7201.9,6.334191069938972,1.8680625192079732,5.792576722131976,1.3554004039162313,3.846084646792818,2.495912808050412,91.449352540415,29.49172986071561,60.71942895827223
AK,2019Q1,10,90.0,44207.0,49.11888888888888,491.18888888888887,281184.9,81708.01,256944.64,59169.99,169666.97,7367.23,6.360641979776959,1.8483047933585175,5.812306648268374,1.3384755807903723,3.8380114009093584,2.6200660135021474,91.37924547157404,29.058462954447407,60.34000047655475
AK,2019Q2,9,91.0,43262.0,52.82295482295481,475.4065934065934,270358.52,79294.57,245632.25,55601.55,161791.71999999997,2306.32,6.249330128056956,1.832891914382137,5.677783042855162,1.2852283759419352,3.739811381813138,0.8530598554837479,90.8542664015175,29.32941414237657,59.84339609493348
AK,2019Q3,10,92.0,44483.0,48.35108695652174,483.5108695652174,281077.05999999994,82272.34,256388.72,58687.63999999999,170973.13999999998,3424.32,6.318752332351684,1.84952318863386,5.763746150214688,1.319327383494818,3.843561360519749,1.2182851208134882,91.21652261483024,29.270385850769895,60.82785268922339
AK,2019Q4,9,92.0,44833.0,54.14613526570049,487.3152173913044,275525.5,82033.51,254496.83,61700.55,171425.22,4130.5,6.145595878036268,1.8297573216157736,5.676551424174157,1.376230678295006,3.8236392835634474,1.4991352887482283,92.36779535832436,29.7734728727468,62.21755155148979
AK,2020Q1,10,91.0,44478.0,48.87692307692307,488.7692307692308,284033.39,83557.7,259728.58000000005,60298.39,174780.78999999998,7798.67,6.385929897927065,1.8786298844372495,5.839484239399255,1.3556902288771977,3.9296009263006426,2.7456877517111637,91.44297436297896,29.418266634074254,61.535296959276494
AK,2020Q2,12,91.0,46454.0,42.54029304029304,510.4835164835165,304582.67,88085.61,277946.30000000005,63205.37,187635.1,12233.39,6.556651095707581,1.8961899944030651,5.983258707538641,1.360601239936281,4.039159168209412,4.016443220489203,91.25479791742583,28.92009909821856,61.60399736465637
AK,2020Q3,9,92.0,40671.0,49.119565217391305,442.07608695652175,247527.56999999995,70179.16,230053.0,54749.93999999999,155503.59000000003,3286.75,6.086095006269822,1.725533180890561,5.656438248383369,1.3461665560227185,3.823451353544295,1.3278318855552134,92.9403540785376,28.35205791419518,62.82273526136909
AK,2020Q4,8,92.0,36915.0,50.15625000000001,401.25,234314.09000000003,66421.48000000001,216377.06,50131.55,144267.74000000002,5759.429999999999,6.347395096844102,1.7993086821075446,5.861494243532439,1.3580265474739266,3.908106189895707,2.4579955904487,92.34487776642028,28.347198412182557,61.57023677065259
AK,2021Q1,11,90.0,42152.0,42.57777777777778,468.3555555555556,268512.78,72880.58,245688.04,51905.05999999999,168517.41999999998,22424.8,6.370107705446954,1.7289945910039857,5.828621180489657,1.2313783450370086,3.9978511102676015,8.351483307423951,91.49957033702456,27.1423133006928,62.75955282277439
AK,2021Q2,11,91.0,47233.0,47.18581418581419,519.0439560439561,279758.23,78274.32999999999,257107.33,56749.84,172560.08,21547.49,5.922940105434759,1.6571958164842375,5.4433834395443865,1.2014870958863508,3.653379628649461,7.702182702542835,91.90340173370414,27.979276963540983,61.68186008325832
AK,2021Q3,10,92.0,45964.0,49.9608695652174,499.60869565217394,257914.04000000007,77185.28000000001,236470.28000000003,56801.94,157284.55,11669.14,5.6112183447915776,1.6792550691845796,5.14468453572361,1.2357919241145243,3.421907362283526,4.524429922465639,91.6856949703087,29.92674613603819,60.98332219525542
AK,2021Q4,12,92.0,49390.0,44.73731884057971,536.8478260869565,309477.8499999999,90860.02000000002,286438.13,68338.73000000001,190198.49,46806.76,6.266002227171491,1.839644057501519,5.799516703786192,1.3836551933589798,3.850951407167443,15.124429745133622,92.55529272935044,29.359135072186923,61.457868471039234
