Rank,State,State Abbr,# Providers,Total HPRD,RN HPRD
1,Alaska,AK,13,5.799,1.76
2,Oregon,OR,125,4.998,0.645
3,North Dakota,ND,69,4.592,0.907
4,Hawaii,HI,42,4.469,1.532
5,California,CA,1059,4.366,0.586
6,Maine,ME,73,4.336,1.07
7,District of Columbia,DC,17,4.332,1.233
8,Washington,WA,185,4.211,0.869
9,Minnesota,MN,331,4.17,1.047
10,Wisconsin,WI,320,4.165,0.941
11,Vermont,VT,34,4.16,0.777
12,Delaware,DE,43,4.133,0.792
13,Mississippi,MS,195,4.099,0.581
14,Arkansas,AR,219,4.098,0.385
15,Nebraska,NE,172,4.09,0.682
16,Kansas,KS,287,4.011,0.657
17,Arizona,AZ,137,3.991,0.639
18,Michigan,MI,418,3.957,0.696
19,Alabama,AL,221,3.925,0.618
20,Idaho,ID,79,3.917,0.783
21,Nevada,NV,65,3.902,0.83
22,Kentucky,KY,267,3.886,0.699
23,New Hampshire,NH,72,3.852,0.729
24,Massachusetts,MA,337,3.812,0.617
25,Oklahoma,OK,272,3.81,0.315
26,Iowa,IA,384,3.801,0.711
27,South Dakota,SD,95,3.799,0.806
28,Utah,UT,95,3.791,1.06
29,Florida,FL,689,3.786,0.697
30,Montana,MT,59,3.779,0.844
31,Tennessee,TN,299,3.765,0.56
32,Maryland,MD,219,3.759,0.737
33,Connecticut,CT,192,3.736,0.621
34,New Jersey,NJ,346,3.715,0.598
35,Pennsylvania,PA,649,3.71,0.654
36,Louisiana,LA,253,3.708,0.249
37,Rhode Island,RI,71,3.683,0.702
38,Ohio,OH,921,3.681,0.598
39,Indiana,IN,502,3.644,0.606
40,North Carolina,NC,407,3.641,0.518
41,South Carolina,SC,183,3.623,0.52
42,Wyoming,WY,34,3.608,0.847
43,New York,NY,589,3.587,0.673
44,Virginia,VA,289,3.571,0.543
45,West Virginia,WV,122,3.559,0.64
46,New Mexico,NM,66,3.553,0.598
47,Colorado,CO,201,3.537,0.754
48,Puerto Rico,PR,7,3.536,2.759
49,Georgia,GA,349,3.526,0.457
50,Missouri,MO,477,3.362,0.4
51,Texas,TX,1155,3.336,0.396
52,Illinois,IL,657,3.299,0.655
