ORGANIZATION NAME,Legal Business Name,CCN,Provider Name,State,City/Town,Chain ID,Chain Name
WINDSOR POINT INC.,WINDSOR POINT INC.,345500,Windsor Point Continuing Care,NC,Fuquay-Varina,,
N&R OF WESTHAVEN L L C,N&R OF WESTHAVEN L L C,375417,WESTHAVEN NURSING HOME,OK,STILLWATER,,
"HILLCREST HEALTHCARE, LLC","HILLCREST HEALTHCARE, LLC",045306,THE SPRINGS OF HILLCREST,AR,PRESCOTT,516,THE SPRINGS ARKANSAS
BELLS NURSING HOME INC,BELLS NURSING HOME INC,445463,BELLS NURSING AND REHABILITATION CENTER,TN,BELLS,,
BEAUMONT WHITNEY PLACE NORTHBOROUGH,BEAUMONT WHITNEY PLACE NORTHBOROUGH,225513,BEAUMONT REHAB & SKILLED NURSING CTR - NORTHBORO,MA,NORTHBOROUGH,,
MORRIS HEALTH SERVICES,MORRIS HEALTH SERVICES,245262,West Wind Village,MN,MORRIS,487,ST. FRANCIS HEALTH SERVICES
"NEW HARMONY CARE CENTER, INC.","NEW HARMONY CARE CENTER, INC.",245381,HARMONY GARDENS,MN,MAPLEWOOD,120,CASSIA
ICC CONVALESCENT LLC,ICC CONVALESCENT LLC,555707,IMPERIAL CARE CENTER,CA,STUDIO CITY,323,LONGWOOD MANAGEMENT CORPORATION
IVY HALL INC,IVY HALL INC,445469,IVY HALL NURSING HOME,TN,ELIZABETHTON,,
HILLCREST HEALTHCARE COMMUNITIES INC,HILLCREST HEALTHCARE COMMUNITIES INC,445131,BEVERLY PARK PLACE HEALTH AND REHAB,TN,KNOXVILLE,,
"DYER NURSING HOME, INC.","DYER NURSING HOME, INC.",445468,DYER NURSING AND REHABILITATION CENTER,TN,DYER,,
"CROCKETT COUNTY NURSING HOME, INC.","CROCKETT COUNTY NURSING HOME, INC.",445467,ALAMO NURSING AND REHABILITATION CENTER,TN,ALAMO,,
"LORIEN HARFORD, INC","LORIEN HARFORD, INC",215341,LORIEN NSG & REHAB CTR BELAIR,MD,BEL AIR,324,LORIEN HEALTH SERVICES
"CARE TWO, LLC","CARE TWO, LLC",315479,CAREONE AT LIVINGSTON,NJ,LIVINGSTON,109,CAREONE
IROQUOIS MEMORIAL HOSPITAL AND RESIDENT HOME,IROQUOIS MEMORIAL HOSPITAL AND RESIDENT HOME,146049,"IROQUOIS RESIDENT HOME, THE",IL,WATSEKA,,
MANOR PARK HEALTHCARE LLC,MANOR PARK HEALTHCARE LLC,505074,PARK MANOR REHABILITATION CTR,WA,WALLA WALLA,507,THE ENSIGN GROUP
SOUTHLAND MANAGMENT LLC,SOUTHLAND MANAGMENT LLC,555070,SOUTHLAND,CA,NORWALK,507,THE ENSIGN GROUP
PECONIC LANDING AT SOUTHOLD INC,PECONIC LANDING AT SOUTHOLD INC,335842,PECONIC LANDING AT SOUTHOLD,NY,GREENPORT,,
TOOMBS NURSING HOME LLC,TOOMBS NURSING HOME LLC,115387,OXLEY PARK HEALTH AND REHABILITATION,GA,LYONS,810,"CLINICAL SERVICES, INC."
"HILLCREST NURSING HOME OF CORBIN, INC.","HILLCREST NURSING HOME OF CORBIN, INC.",185125,Hillcrest Health and Rehabilitation Center,KY,CORBIN,468,SEKY HOLDING CO.
"SOUTH BROADWAY HEALTHCARE GROUP, INC","SOUTH BROADWAY HEALTHCARE GROUP, INC",366253,AMBERWOOD MANOR,OH,NEW PHILADELPHIA,461,SABER HEALTHCARE GROUP
TAYLOR COUNTY HEALTH CARE LLC,TAYLOR COUNTY HEALTH CARE LLC,115507,TAYLOR COUNTY HEALTH AND REHABILITATION,GA,BUTLER,810,"CLINICAL SERVICES, INC."
"LAKE PRINCE CENTER, INC.","LAKE PRINCE CENTER, INC.",495366,"LAKE PRINCE WOODS, INC",VA,SUFFOLK,675,EVERYAGE SENIOR LIVING
"KNOTT COUNTY NURSING HOME, INC.","KNOTT COUNTY NURSING HOME, INC.",185150,KNOTT COUNTY HEALTH AND REHABILITATION CENTER,KY,HINDMAN,468,SEKY HOLDING CO.
"C & G HEALTHCARE SERVICES, INC.","C & G HEALTHCARE SERVICES, INC.",015015,PLANTATION MANOR NURSING HOME,AL,MC CALLA,,
"WILLIAMSBURG NURSING HOME, INC.","WILLIAMSBURG NURSING HOME, INC.",185148,Williamsburg Health and Rehabilitation Center,KY,WILLIAMSBURG,468,SEKY HOLDING CO.
"CORBIN NURSING HOME, INC.","CORBIN NURSING HOME, INC.",185366,Corbin Health and Rehabilitation Center,KY,Corbin,468,SEKY HOLDING CO.
"HARLAN NURSING HOME, INC.","HARLAN NURSING HOME, INC.",185166,Harlan Health and Rehabilitation Center,KY,Harlan,468,SEKY HOLDING CO.
DEWITT REHABILITATION AND NURSING CENTER INC,DEWITT REHABILITATION AND NURSING CENTER INC,335232,UPPER EAST SIDE REHABILITATION AND NURSING CENTER,NY,NEW YORK CITY,119,CASSENA CARE
GORDON LANE HEALTHCARE LLC,GORDON LANE HEALTHCARE LLC,555797,GORDON LANE CARE CENTER,CA,FULLERTON,811,DAVID & FRANK JOHNSON
"WOLFE COUNTY HEALTH CARE CENTER, INC.","WOLFE COUNTY HEALTH CARE CENTER, INC.",185213,Wolfe County Health and Rehabilitation Center,KY,Campton,468,SEKY HOLDING CO.
COUNTY OF CHESHIRE,COUNTY OF CHESHIRE,305054,CHESHIRE COUNTY HOME,NH,WESTMORELAND,,
SPARTA HEALTH CARE LLC,SPARTA HEALTH CARE LLC,115382,SPARTA HEALTH AND REHABILITATION,GA,SPARTA,810,"CLINICAL SERVICES, INC."
"WESLEY WOODS CENTER OF EMORY UNIVERSITY, INC","WESLEY WOODS CENTER OF EMORY UNIVERSITY, INC",115682,PARKSIDE AT BUDD TERRACE OPERATING COMPANY LLC,GA,ATLANTA,,
VIA CHRISTI VILLAGE MANHATTAN INC,VIA CHRISTI VILLAGE MANHATTAN INC,175100,"VIA CHRISTI VILLAGE MANHATTAN, INC",KS,MANHATTAN,48,ASCENSION LIVING
PREFERRED HEALTH HOLDINGS LLC,PREFERRED HEALTH HOLDINGS LLC,015378,MARSHALL MANOR NURSING HOME,AL,GUNTERSVILLE,702,PRESTON HEALTH SERVICES
MAYFLOWER HOMES INC,MAYFLOWER HOMES INC,165481,Mayflower Home,IA,Grinnell,,
"BARBOURVILLE NURSING HOME, INC.","BARBOURVILLE NURSING HOME, INC.",185164,Barbourville Health and Rehabilitation Center,KY,Barbourville,468,SEKY HOLDING CO.
ODD FELLOWS HOME OF CALIFORNIA,ODD FELLOWS HOME OF CALIFORNIA,555343,SARATOGA RETIREMENT COMMUNITY HEALTH CENTER,CA,SARATOGA,391,PACIFIC RETIREMENT SERVICES
"HOLGATE CARE CENTER, LLC","HOLGATE CARE CENTER, LLC",366255,VANCREST HEALTH CARE CTR OF HO,OH,HOLGATE,542,VANCREST HEALTH CARE CENTERS
"METRO HEALTH FOUNDATION OF NEW HAMPSHIRE, INC.","METRO HEALTH FOUNDATION OF NEW HAMPSHIRE, INC.",305044,GOLDEN VIEW HEALTH CARE CENTER,NH,MEREDITH,,
"SPAULDING NURSING AND THERAPY CENTER BRIGHTON, INC.","SPAULDING NURSING AND THERAPY CENTER BRIGHTON, INC.",225014,SPAULDING NURSING AND THERAPY CENTER - BRIGHTON,MA,BOSTON,,
