PROVNUM,PROVNAME,CITY,STATE,COUNTY_NAME,COUNTY_FIPS,CY_Qtr,WorkDate,MDScensus,Hrs_RNDON,Hrs_RNDON_emp,Hrs_RNDON_ctr,Hrs_RNadmin,Hrs_RNadmin_emp,Hrs_RNadmin_ctr,Hrs_RN,Hrs_RN_emp,Hrs_RN_ctr,Hrs_LPNadmin,Hrs_LPNadmin_emp,Hrs_LPNadmin_ctr,Hrs_LPN,Hrs_LPN_emp,Hrs_LPN_ctr,Hrs_CNA,Hrs_CNA_emp,Hrs_CNA_ctr,Hrs_NAtrn,Hrs_NAtrn_emp,Hrs_NAtrn_ctr,Hrs_MedAide,Hrs_MedAide_emp,Hrs_MedAide_ctr,Hrs_RNDON.1
335513,SEAGATE REHABILITATION AND NURSING CENTER,BROOKLYN,NY,Kings,47,2017Q1,20170101,347,0.0,0.0,0.0,28.8,28.8,0.0,42.07,42.07,0.0,0.0,0.0,0.0,172.45,163.45,9.0,718.48,674.48,44.0,0.0,0.0,0.0,0.0,0.0,0.0,
335513,SEAGATE REHABILITATION AND NURSING CENTER,BROOKLYN,NY,Kings,47,2017Q1,20170102,344,0.0,0.0,0.0,48.0,48.0,0.0,51.12,51.12,0.0,0.0,0.0,0.0,221.34,207.34,14.0,715.15,673.12,42.03,0.0,0.0,0.0,0.0,0.0,0.0,
335513,SEAGATE REHABILITATION AND NURSING CENTER,BROOKLYN,NY,Kings,47,2017Q1,20170103,347,7.0,7.0,0.0,42.32,42.32,0.0,74.77,74.77,0.0,0.0,0.0,0.0,217.77,203.77,14.0,798.53,781.7,16.83,0.0,0.0,0.0,0.0,0.0,0.0,
335513,SEAGATE REHABILITATION AND NURSING CENTER,BROOKLYN,NY,Kings,47,2017Q1,20170104,348,7.0,7.0,0.0,64.78,64.78,0.0,65.1,65.1,0.0,0.0,0.0,0.0,230.98,219.0,11.98,769.91,737.31,32.6,0.0,0.0,0.0,0.0,0.0,0.0,
335513,SEAGATE REHABILITATION AND NURSING CENTER,BROOKLYN,NY,Kings,47,2017Q1,20170105,347,7.0,7.0,0.0,62.65,62.65,0.0,67.97,67.97,0.0,0.0,0.0,0.0,223.52,216.52,7.0,783.32,747.54,35.78,0.0,0.0,0.0,0.0,0.0,0.0,
335513,SEAGATE REHABILITATION AND NURSING CENTER,BROOKLYN,NY,Kings,47,2017Q1,20170106,346,7.0,7.0,0.0,59.45,59.45,0.0,63.63,63.63,0.0,0.0,0.0,0.0,247.91,240.91,7.0,739.41,714.84,24.57,0.0,0.0,0.0,0.0,0.0,0.0,
335513,SEAGATE REHABILITATION AND NURSING CENTER,BROOKLYN,NY,Kings,47,2017Q1,20170107,346,0.0,0.0,0.0,30.05,30.05,0.0,30.05,30.05,0.0,0.0,0.0,0.0,229.87,220.87,9.0,737.48,687.48,50.0,0.0,0.0,0.0,0.0,0.0,0.0,
335513,SEAGATE REHABILITATION AND NURSING CENTER,BROOKLYN,NY,Kings,47,2017Q1,20170108,343,0.0,0.0,0.0,34.48,34.48,0.0,41.68,41.68,0.0,0.0,0.0,0.0,230.51,218.51,12.0,741.22,713.24,27.98,0.0,0.0,0.0,0.0,0.0,0.0,
335513,SEAGATE REHABILITATION AND NURSING CENTER,BROOKLYN,NY,Kings,47,2017Q1,20170109,346,7.0,7.0,0.0,65.72,65.72,0.0,65.6,65.6,0.0,0.0,0.0,0.0,225.6,225.6,0.0,764.85,764.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
335513,SEAGATE REHABILITATION AND NURSING CENTER,BROOKLYN,NY,Kings,47,2017Q1,20170110,345,7.0,7.0,0.0,63.18,63.18,0.0,65.1,65.1,0.0,0.0,0.0,0.0,249.37,242.37,7.0,780.23,776.23,4.0,0.0,0.0,0.0,0.0,0.0,0.0,
335513,SEAGATE REHABILITATION AND NURSING CENTER,BROOKLYN,NY,Kings,47,2017Q1,20170111,349,7.0,7.0,0.0,76.56,76.56,0.0,58.55,58.55,0.0,0.0,0.0,0.0,255.52,248.52,7.0,789.05,777.05,12.0,0.0,0.0,0.0,0.0,0.0,0.0,
335513,SEAGATE REHABILITATION AND NURSING CENTER,BROOKLYN,NY,Kings,47,2017Q1,20170112,349,7.0,7.0,0.0,54.05,54.05,0.0,76.83,76.83,0.0,0.0,0.0,0.0,233.54,226.54,7.0,782.87,770.87,12.0,0.0,0.0,0.0,0.0,0.0,0.0,
335513,SEAGATE REHABILITATION AND NURSING CENTER,BROOKLYN,NY,Kings,47,2017Q1,20170113,346,0.0,0.0,0.0,62.82,62.82,0.0,60.65,60.65,0.0,0.0,0.0,0.0,239.72,232.72,7.0,756.21,742.21,14.0,0.0,0.0,0.0,0.0,0.0,0.0,
335513,SEAGATE REHABILITATION AND NURSING CENTER,BROOKLYN,NY,Kings,47,2017Q1,20170114,345,0.0,0.0,0.0,39.77,39.77,0.0,44.89,44.89,0.0,0.0,0.0,0.0,227.64,221.11,6.53,744.99,735.99,9.0,0.0,0.0,0.0,0.0,0.0,0.0,
335513,SEAGATE REHABILITATION AND NURSING CENTER,BROOKLYN,NY,Kings,47,2017Q1,20170115,345,0.0,0.0,0.0,34.9,34.9,0.0,48.21,48.21,0.0,0.0,0.0,0.0,211.4,211.4,0.0,716.97,693.97,23.0,0.0,0.0,0.0,0.0,0.0,0.0,
335513,SEAGATE REHABILITATION AND NURSING CENTER,BROOKLYN,NY,Kings,47,2017Q1,20170116,343,0.0,0.0,0.0,34.62,34.62,0.0,48.97,48.97,0.0,0.0,0.0,0.0,223.28,216.28,7.0,752.42,742.42,10.0,0.0,0.0,0.0,0.0,0.0,0.0,
335513,SEAGATE REHABILITATION AND NURSING CENTER,BROOKLYN,NY,Kings,47,2017Q1,20170117,342,0.0,0.0,0.0,56.23,56.23,0.0,60.92,60.92,0.0,0.0,0.0,0.0,230.4,223.4,7.0,777.0,763.03,13.97,0.0,0.0,0.0,0.0,0.0,0.0,
335513,SEAGATE REHABILITATION AND NURSING CENTER,BROOKLYN,NY,Kings,47,2017Q1,20170118,343,0.0,0.0,0.0,58.16,58.16,0.0,58.23,58.23,0.0,0.0,0.0,0.0,239.57,239.57,0.0,764.08,762.08,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
335513,SEAGATE REHABILITATION AND NURSING CENTER,BROOKLYN,NY,Kings,47,2017Q1,20170119,342,0.0,0.0,0.0,56.57,56.57,0.0,74.93,74.93,0.0,0.0,0.0,0.0,235.48,235.48,0.0,795.9,788.9,7.0,0.0,0.0,0.0,0.0,0.0,0.0,
335513,SEAGATE REHABILITATION AND NURSING CENTER,BROOKLYN,NY,Kings,47,2017Q1,20170120,340,0.0,0.0,0.0,69.63,69.63,0.0,67.79,67.79,0.0,0.0,0.0,0.0,229.0,213.0,16.0,769.77,746.84,22.93,0.0,0.0,0.0,0.0,0.0,0.0,
335513,SEAGATE REHABILITATION AND NURSING CENTER,BROOKLYN,NY,Kings,47,2017Q1,20170121,340,0.0,0.0,0.0,39.52,39.52,0.0,44.35,44.35,0.0,0.0,0.0,0.0,216.95,204.95,12.0,770.09,730.09,40.0,0.0,0.0,0.0,0.0,0.0,0.0,
335513,SEAGATE REHABILITATION AND NURSING CENTER,BROOKLYN,NY,Kings,47,2017Q1,20170122,340,0.0,0.0,0.0,34.73,34.73,0.0,46.42,46.42,0.0,0.0,0.0,0.0,205.25,198.25,7.0,765.93,739.93,26.0,0.0,0.0,0.0,0.0,0.0,0.0,
335513,SEAGATE REHABILITATION AND NURSING CENTER,BROOKLYN,NY,Kings,47,2017Q1,20170123,341,7.0,7.0,0.0,56.43,56.43,0.0,68.13,68.13,0.0,0.0,0.0,0.0,201.97,194.97,7.0,774.83,772.83,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
335513,SEAGATE REHABILITATION AND NURSING CENTER,BROOKLYN,NY,Kings,47,2017Q1,20170124,342,7.0,7.0,0.0,58.38,58.38,0.0,62.82,62.82,0.0,0.0,0.0,0.0,225.18,211.18,14.0,764.64,747.64,17.0,0.0,0.0,0.0,0.0,0.0,0.0,
335513,SEAGATE REHABILITATION AND NURSING CENTER,BROOKLYN,NY,Kings,47,2017Q1,20170125,342,7.0,7.0,0.0,62.65,62.65,0.0,58.23,58.23,0.0,0.0,0.0,0.0,251.71,237.71,14.0,774.21,772.21,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
335513,SEAGATE REHABILITATION AND NURSING CENTER,BROOKLYN,NY,Kings,47,2017Q1,20170126,340,7.0,7.0,0.0,68.28,68.28,0.0,69.94,69.94,0.0,0.0,0.0,0.0,237.95,237.95,0.0,779.38,774.38,5.0,0.0,0.0,0.0,0.0,0.0,0.0,
