PROVNUM,PROVNAME,STATE,COUNTY_NAME,CY_Qtr,days_reported,total_resident_days,avg_daily_census,MDScensus,Total_Nurse_Hours,Total_RN_Hours,Total_Nurse_Care_Hours,Total_RN_Care_Hours,Total_Nurse_Assistant_Hours,Total_Contract_Hours,Total_Nurse_HPRD,RN_HPRD,Nurse_Care_HPRD,RN_Care_HPRD,Nurse_Assistant_HPRD,Contract_Percentage
015009,"BURNS NURSING HOME, INC.",AL,Franklin,2025Q3,92,4456.0,48.43478260869565,48.43478260869565,19652.08,5150.929999999998,18178.61,3677.46,11764.85,0.0,4.410251346499103,1.155953770197486,4.079580341113105,0.8252827648114901,2.6402266606822264,0.0
015010,COOSA VALLEY HEALTHCARE CENTER,AL,Talladega,2025Q3,92,7155.0,77.77173913043478,77.77173913043478,30992.25,5577.5,27985.25,2570.5,18718.25,0.0,4.331551362683438,0.7795248078266946,3.911285814116003,0.3592592592592593,2.6161076170510134,0.0
015012,HIGHLANDS HEALTH AND REHAB,AL,Jackson,2025Q3,92,4265.0,46.35869565217392,46.35869565217392,19206.93,3949.169999999999,16935.609999999997,2736.6699999999987,11579.170000000002,0.0,4.503383352872215,0.9259484173505274,3.970834701055099,0.6416576787807734,2.7149284876905044,0.0
015014,EASTVIEW REHABILITATION & HEALTHCARE CENTER,AL,Jefferson,2025Q3,92,5894.0,64.06521739130434,64.06521739130434,22932.28000000001,3879.959999999999,22436.28,3383.96,14941.800000000008,0.0,3.890783847980999,0.6582897862232777,3.8066304716661015,0.5741364099083813,2.535086528673228,0.0
015015,PLANTATION MANOR NURSING HOME,AL,Jefferson,2025Q3,92,9166.0,99.6304347826087,99.6304347826087,31249.44000000001,3777.2599999999993,30259.44000000001,3282.259999999999,21266.73,0.0,3.4092777656556845,0.4120946977962033,3.301269910538949,0.3580907702378353,2.3201756491381187,0.0
015016,ATHENS HEALTH AND REHABILITATION LLC,AL,Limestone,2025Q3,92,12723.0,138.29347826086956,138.29347826086956,47270.96,7560.230000000001,44485.48000000001,5714.230000000001,30874.300000000007,0.0,3.715394168042129,0.5942175587518668,3.4964615263695675,0.4491259922974142,2.426652519059971,0.0
015019,MERRY WOOD LODGE,AL,Elmore,2025Q3,92,8812.0,95.78260869565216,95.78260869565216,27859.47,6867.55,25951.6,4959.679999999999,17040.71000000001,4.0,3.1615376758965046,0.7793406718111666,2.945029505220154,0.562832501134816,1.93380730821607,0.0143577749325453
015023,HATLEY HEALTH CARE INC,AL,Chilton,2025Q3,92,8034.0,87.32608695652173,87.32608695652173,26060.789999999997,5561.289999999999,25221.250000000004,4721.75,11036.690000000006,5394.220000000001,3.243812546676624,0.6922193178989294,3.139314164799602,0.5877209360219069,1.3737478217575312,20.698605069147952
015024,"LIMESTONE NURSING AND REHABILITATION CENTER, LLC",AL,Limestone,2025Q3,92,12431.0,135.1195652173913,135.1195652173913,50376.75,5607.75,48400.75,4666.0,31579.75,7.0,4.052509854396267,0.4511101279060413,3.893552409299332,0.3753519427238356,2.540403024696324,0.013895298922618
015027,"WETUMPKA HEALTH AND REHABILITATION, LLC",AL,Elmore,2025Q3,92,10749.0,116.83695652173913,116.83695652173913,40620.19000000001,5814.090000000002,37399.26,4238.790000000001,27822.700000000004,0.0,3.7789738580333054,0.5408958972927717,3.4793245883337987,0.3943427295562379,2.588398920829845,0.0
