STATE,CY_Qtr,facility_count,avg_days_reported,total_resident_days,avg_daily_census,MDScensus,Total_Nurse_Hours,Total_RN_Hours,Total_Nurse_Care_Hours,Total_RN_Care_Hours,Total_Nurse_Assistant_Hours,Total_Contract_Hours,Total_Nurse_HPRD,RN_HPRD,Nurse_Care_HPRD,RN_Care_HPRD,LPN_HPRD,LPN_Care_HPRD,Nurse_Assistant_HPRD,Contract_Percentage
NATIONAL,2017Q1,13929,90.0,110986405.0,88.53343942693519,1233182.2777777778,411423582.9599996,65814353.260000095,382476892.7600006,44159621.420000106,249514700.0999998,8634527.689999986,3.706972786081318,0.5929947299401228,3.4461598495779784,0.397883158932845,0.8667941363529222,0.8010129516257217,2.2481555294993094,2.098695370809474
NATIONAL,2017Q2,13984,91.0,110928196.0,87.170420826313,1218991.1648351648,414529978.4400006,65294285.93000023,385415353.8900009,43639998.14999987,252654207.9200012,17286524.309999973,3.736921660927404,0.588617576815188,3.4744579627888377,0.3934076251451873,0.871763134846884,0.804436507485081,2.277637399962776,4.170150582366635
NATIONAL,2017Q3,14477,92.0,115927123.0,87.03995468073785,1260077.4239130437,431711712.95,67584900.96000004,401894674.4399999,45624893.12000012,263900696.75000104,10291563.349999988,3.7239922960047926,0.5829947229864407,3.466787271517122,0.3935653015386237,0.8655464358072876,0.7976737304405116,2.2764361774940367,2.383897179827488
NATIONAL,2017Q4,14142,92.0,113276147.0,87.06423896134291,1231262.4673913044,423674816.33,67067809.11999997,394174081.900001,45265895.05999978,258004853.1800004,9891545.169999998,3.74019445002839,0.5920735379532283,3.479762441955242,0.3996065920215292,0.8714057116794705,0.8033524742787868,2.277662685507836,2.3347021792995784
NATIONAL,2018Q1,14677,90.0,114865169.0,86.95780170031708,1276279.6555555556,429604095.93000114,69586356.56999993,398674087.3399999,46764811.85999991,259071689.87000048,11416928.869999995,3.740072814675449,0.6058090296284676,3.470800511685138,0.4071278723317763,0.8798361850433597,0.8091622349408601,2.255441681107007,2.657546559300089
NATIONAL,2018Q2,14662,91.0,115386568.0,86.48098920585618,1267984.2637362638,435131209.4899993,70026684.35000016,404210137.5599994,47228979.03999994,263591830.66999888,11722981.349999985,3.771073332296349,0.6068876608757456,3.5030952438068823,0.4093108917148826,0.8807633698611619,0.8103058734244003,2.28442387392958,2.69412560954661
NATIONAL,2018Q3,14871,92.0,118152337.0,86.36033438293934,1284264.5326086956,444914841.0799996,70969362.4599999,414121421.380001,48363445.0499999,270672289.3300022,12693113.56999996,3.765603392846979,0.6006598283366998,3.5049786732529973,0.4093312606250006,0.8750635909316827,0.8057005775681078,2.2908754596195773,2.8529310326417336
NATIONAL,2018Q4,14916,92.0,118727465.0,86.51890077185818,1290515.9239130437,446085982.6799982,71993050.88999997,414574270.1200008,48932127.27999999,270333897.22,13184174.359999975,3.757226541306161,0.606372340974348,3.4918143844813057,0.4121382300211664,0.8749169822650262,0.8036657301739136,2.2769280656333395,2.955523121527381
NATIONAL,2019Q1,15058,90.0,117339588.0,86.5834240935051,1303773.2,438842768.67000055,72307815.82000008,406873254.6200006,48960070.89999997,263836739.7500001,13148060.76000002,3.739937868794976,0.6162269448227489,3.4674849431037766,0.4172510892061422,0.8762332973883273,0.8026783037935115,2.248488717635519,2.9960755192224786
NATIONAL,2019Q2,15020,91.0,117986251.0,86.32171829502076,1296552.2087912087,442946004.1799994,72634709.01000012,411131593.1499998,49377093.61999989,267244275.08000064,14174804.780000014,3.754217126366693,0.6156201116179217,3.4845720553490573,0.4184987081248975,0.8745343354449542,0.8019596036646929,2.2650459084423376,3.200120250828545
NATIONAL,2019Q3,14983,92.0,119190066.0,86.4676096677688,1295544.1956521738,447490120.5599973,73445120.9399999,415922291.4999999,50197411.39000013,270580655.0299997,14960357.519999996,3.754424639382256,0.6162016970441135,3.489571786125195,0.4211543216193883,0.8689838631180585,0.799131729854009,2.270161130962036,3.3431704595574825
NATIONAL,2019Q4,14969,92.0,119252904.0,86.59410898465481,1296227.2173913044,447207028.23999935,73737032.14000013,415741123.2300004,50508301.51999999,269822139.4899995,15358167.769999988,3.7500724363072897,0.6183248345885156,3.4862138303147767,0.4235393841645985,0.8701284129061319,0.801018303983396,2.262604351253362,3.434241145637324
NATIONAL,2020Q1,12134,91.0,93031627.0,84.25297275659892,1022325.5714285716,351221211.3699972,58917027.870000005,325576895.80999935,40090873.480000176,210908069.1500001,11249712.010000013,3.775288283091053,0.633301058681904,3.499636696776241,0.4309381096817771,0.8759109929034551,0.8025344097359587,2.2670577302705897,3.2030275068292786
NATIONAL,2020Q2,14763,91.0,105144657.0,78.26565001752986,1155435.7912087913,409439601.3699991,69960456.92999992,378810271.1900004,47412809.399999805,243084011.3700001,14806601.249999974,3.894059984141648,0.6653733905851242,3.60275340657586,0.4509293268225679,0.9181133753128927,0.8411374469660124,2.3119007499353974,3.616309023469292
NATIONAL,2020Q3,14782,92.0,103360852.0,76.00375603701363,1123487.5217391304,399920502.37999976,70223495.6199999,369887092.9200007,48128790.85000004,235184374.70000052,15487920.149999972,3.8691680132435415,0.6794012845404941,3.5785994964515258,0.4656384880612249,0.9156000356835191,0.8386716667133653,2.275371866129747,3.872749723464673
NATIONAL,2020Q4,14688,92.0,100406748.0,74.30403701335608,1091377.6956521738,394240417.5599997,69136487.85000008,364638030.8599993,47393044.139999926,231058422.6600001,18236976.029999983,3.926433485924668,0.688564157560407,3.631608812387782,0.4720105479364786,0.9376777434598176,0.8592997649303962,2.301224043826218,4.625851439299597
