Chain,"Chain ID","Number of facilities","Number of states and territories with operations","Number of Special Focus Facilities (SFF)","Number of SFF candidates","Number of facilities with an abuse icon","Percentage of facilities with an abuse icon","Percent of facilities classified as for-profit","Percent of facilities classified as non-profit","Percent of facilities classified as government-owned","Average overall 5-star rating","Average health inspection rating","Average staffing rating","Average quality rating","Average total nurse hours per resident day","Average total weekend nurse hours per resident day","Average total Registered Nurse hours per resident day","Average total nursing staff turnover percentage","Average Registered Nurse turnover percentage","Average number of administrators who have left the nursing home","Total number of fines","Average number of fines","Total amount of fines in dollars","Average amount of fines in dollars","Total number of payment denials","Average number of payment denials","Average percentage of short-stay residents who were re-hospitalized after a nursing home admission","Average percentage of short-stay residents who have had an outpatient emergency department visit","Average percentage of short-stay residents who newly received an antipsychotic medication","Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened","Average percentage of short-stay residents who are at or above an expected ability to care for themselves and move around at discharge","Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days","Average percentage of long-stay residents who received an antipsychotic medication","Average percentage of long-stay residents experiencing one or more falls with major injury","Average percentage of long-stay residents with pressure ulcers","Average percentage of long-stay residents with a urinary tract infection","Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder","Average percentage of long-stay residents whose ability to move independently worsened","Average percentage of long-stay residents whose need for help with activities of daily living has increased","Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average percentage of long-stay residents who were physically restrained","Average percentage of long-stay residents with new or worsened bowel or bladder incontinence","Average percentage of long-stay residents who lose too much weight","Average percentage of long-stay residents who have symptoms of depression","Average percentage of long-stay residents who used antianxiety or hypnotic medication","Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF"
National,"",14713,53,85,441,1498,10.2,73.8,19.7,6.4,3,2.8,2.9,3.7,3.9,3.4,0.7,46.2,43.4,0.5,14280,1,467353410,31781.94,2553,0.2,23.8,12,1.5,2.4,55,79.8,81.8,1.9,1.8,15.5,3.3,4.9,1.6,0.9,15.4,14.4,95.5,93.4,0.1,19.4,5.3,12.1,19.5,10.8
"ABBY GL, LLC",1,6,1,0,0,0,0,100,0,0,2.2,2,3.7,4.2,4.3,4,0.5,35.3,32.8,0,5,0.8,282460,47076.67,5,0.8,25,14.4,1.1,0.5,56.5,99.2,99.8,2.5,1.9,11.4,1.5,3.5,0.1,0,7,5.2,100,100,0.1,3.8,3.8,8.6,17.3,11.1
"ABRAHAM BAK & MENACHEM GASTWIRTH",4,16,1,0,0,2,12.5,93.8,0,6.3,2.6,2.4,3.3,3.4,4.6,4.1,0.5,35,29.5,0.1,11,0.7,263055,16440.94,2,0.1,25.7,8.5,4.6,0.6,56.6,97.7,97.4,2.8,1.4,15.7,1.6,5.6,1.6,0.4,9.1,14.1,99.6,99.7,0,10.7,4.3,21,15.5,11.1
"ABSOLUT CARE",6,5,1,0,0,0,0,100,0,0,3.4,3.4,2.6,4.2,3.4,2.9,0.4,49.4,36.5,0.4,1,0.2,12740,2548,0,0,21.4,7.6,1,2.7,57.8,79,78,1.2,1.3,21.4,3.7,4.3,0.8,0.4,12.7,13,92.8,96.6,0,16.3,6.3,3.7,21.3,11
"ACCOLADE HEALTHCARE",7,6,1,0,0,1,16.7,100,0,0,2.3,2.8,1.3,3.3,3.5,3.2,0.6,47,40.3,0.2,15,2.5,469952,78325.33,2,0.3,30.8,16.1,1.1,2.2,61.1,82.4,80.7,1.9,1.9,10.6,2.9,6.7,0.3,0.4,17.9,15.2,95.4,96.5,0,22.7,8.6,52.3,15.6,11.7
"ACCURA HEALTHCARE",8,38,4,0,0,2,5.3,100,0,0,2.4,2.3,3.3,2.8,3.6,3.1,0.7,41,49.4,0.6,24,0.6,559866,14733.32,9,0.2,21,15.8,2.6,1.8,57.6,73.6,82.6,1.6,2.6,21.5,3.9,4.4,3,1.4,22.6,21.3,95.8,89.7,0.1,27.8,5.4,4.1,21.5,10.5
"ACTS RETIREMENT-LIFE COMMUNITIES",9,27,9,0,0,1,3.7,0,100,0,4.7,4.3,4.8,4.4,4.4,4.1,1.3,23.3,28,0.4,2,0.1,33770,1250.74,0,0,24.2,13.4,0.7,2.5,66.5,96.6,92.7,2,1.1,9.7,3.4,5.9,2.7,1.5,16.6,17.3,98,96.8,0,19.4,4.9,0.2,18.1,11.2
"ADAMS COUNTY MEMORIAL HOSPITAL",10,8,1,0,0,0,0,62.5,25,12.5,2.6,2.6,2.9,3.8,4,3.5,0.8,46.9,41.1,0.2,2,0.3,114339,14292.38,1,0.1,22,4.6,1,1.2,53.4,76.1,78.8,1.9,1,12,4.9,4.5,2.6,1.2,27.4,25.5,95.4,95,0,27.3,5.3,11,24.1,10.6
"ADVANCED HEALTH CARE",11,26,11,0,0,1,3.8,100,0,0,4.6,4.1,4.1,4.7,5.5,4.6,1.6,45.3,43,0.5,33,1.3,287401,11053.88,1,0,21.2,9.6,0.3,1.5,61.8,91.2,96.1,"","","","","","","","","","","","","","","","",10.3
"ADVANCED HEALTH CARE MANAGEMENT",12,6,2,0,0,0,0,100,0,0,3.3,3.3,3.7,3.7,3.9,3.2,0.5,37.5,33.8,0,2,0.3,19357,3226.17,0,0,24.6,10.2,1.4,2.6,62.8,94.6,98.1,2.6,2.2,13.2,3.1,6,1.4,1.1,17.7,17.3,99.8,100,0.1,15.9,2.8,0.7,27.7,11.9
