Chain,Chain ID,Number of facilities,Number of states and territories with operations,Number of Special Focus Facilities (SFF),Number of SFF candidates,Number of facilities with an abuse icon,Percentage of facilities with an abuse icon,Percent of facilities classified as for-profit,Percent of facilities classified as non-profit,Percent of facilities classified as government-owned,Average overall 5-star rating,Average health inspection rating,Average staffing rating,Average quality rating,Average total nurse hours per resident day,Average total weekend nurse hours per resident day,Average total Registered Nurse hours per resident day,Average total nursing staff turnover percentage,Average Registered Nurse turnover percentage,Average number of administrators who have left the nursing home,Total number of fines,Average number of fines,Total amount of fines in dollars,Average amount of fines in dollars,Total number of payment denials,Average number of payment denials,Average percentage of short-stay residents who were re-hospitalized after a nursing home admission,Average percentage of short-stay residents who have had an outpatient emergency department visit,Average percentage of short-stay residents who newly received an antipsychotic medication,Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened,Average percentage of short-stay residents who are at or above an expected ability to care for themselves and move around at discharge,Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine,"Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days",Average percentage of long-stay residents who received an antipsychotic medication,Average percentage of long-stay residents experiencing one or more falls with major injury,Average percentage of long-stay residents with pressure ulcers,Average percentage of long-stay residents with a urinary tract infection,Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder,Average percentage of long-stay residents whose ability to move independently worsened,Average percentage of long-stay residents whose need for help with activities of daily living has increased,Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine,Average percentage of long-stay residents who were physically restrained,Average percentage of long-stay residents with new or worsened bowel or bladder incontinence,Average percentage of long-stay residents who lose too much weight,Average percentage of long-stay residents who have symptoms of depression,Average percentage of long-stay residents who used antianxiety or hypnotic medication,Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF
National,,14704,53,88,440,1435,9.8,73.9,19.5,6.5,3,2.8,2.9,3.6,3.9,3.4,0.7,45.8,42.9,0.5,13685,0.9,464000000,31582.5,2479,0.2,23.7,12,1.5,2.4,55.5,79.8,82,1.9,1.8,15.4,3.2,4.6,1.6,0.8,14.2,13.9,95.5,93.5,0.1,19,5.2,12.8,19.5,10.8
COMMUNITY CARE CENTERS,154,8,1,0,0,1,12.5,100,0,0,2.5,3.1,1.6,2,2.9,2.6,0.4,58.3,48.1,1.1,4,0.5,238982,29872.8,3,0.4,25,9.4,3.9,3.6,46.5,70.3,81,2.7,2.8,22.1,6,5.8,3.2,1.8,24.4,19.8,95.7,93.2,0.3,22.7,5.3,4.1,24.9,11.2
CONCORDIA LUTHERAN MINISTRIES,573,9,3,0,0,0,0,0,100,0,3.6,3.3,2.9,4.4,3.8,3.4,0.8,39.6,31,0,6,0.7,56610,6290,0,0,26.9,8.7,1.2,0.9,66.6,83.7,97.5,1.7,1.3,13.9,2.2,3.3,0.7,1.2,23,15.7,96.1,95.7,0,28.4,8.1,13.2,16.8,11.2
HERITAGE HALL,265,16,1,0,0,0,0,100,0,0,3.9,3.7,2.3,3.8,3.3,2.8,0.4,38.6,40.1,0.3,7,0.4,213532,13345.8,0,0,20.1,10.9,1.1,1.5,70.1,75.9,79.8,1.3,1.7,14,4.4,3.7,1.3,0.3,17.1,17.3,97.5,96.7,0,18.7,4.4,6.6,22.4,11
ELMBROOK MANAGEMENT COMPANY,198,11,1,0,0,1,9.1,100,0,0,3.4,3.7,3,2.4,3.6,3.2,0.5,57.3,46.7,0.5,5,0.5,83240,7567.3,0,0,27,14.9,3.4,1.3,47.4,76.7,68.7,2.7,3.5,14.1,5.8,2.5,3,1,14.4,16.4,99.2,96.4,0.1,12,2.5,3.2,29.7,12.3
ROLLINS-NELSON HEALTHCARE MANAGEMENT,456,10,1,0,1,4,40,100,0,0,2.3,2.2,3.1,3.8,4.7,4.3,0.4,33.6,23.1,0.5,19,1.9,493191,49319.1,4,0.4,15.7,5.2,5.9,0,62.2,96.1,86.5,3.9,0.8,44.1,0.8,3.1,1.1,2.5,11.2,17.5,99.8,98.7,0,4.9,1.2,1.5,18.4,10
IMPERIAL HEALTHCARE GROUP,282,13,1,0,0,1,7.7,100,0,0,2.5,2.8,1.5,3.5,3.2,2.9,0.4,55.3,46.7,0.6,11,0.8,289210,22246.9,1,0.1,26.1,10.1,1.1,2.4,62.2,55.4,71.4,2.2,1.4,17.7,3.1,4.7,1.1,0.5,9.1,9.8,89.5,81.5,0,26,6.8,14.9,19.2,10.3
SOVEREIGN HEALTHCARE HOLDINGS,482,43,3,0,0,3,7,100,0,0,3.8,3.3,3.1,4.5,3.6,3.3,0.6,43.9,51.1,0.5,23,0.5,1032915,24021.3,2,0,23.8,9.3,0.9,2,70.2,97,95.7,2.1,1.3,10.8,3.2,3.8,0.5,0.1,6.6,5.7,99.9,99,0,8.3,4.3,12,8.9,11.3
CARDON & ASSOCIATES,105,20,1,0,0,0,0,40,5,55,3.8,3.3,2.6,4.7,3.5,3,0.6,52.9,47,0.3,5,0.3,88381,4419.1,0,0,20.6,10.7,0.9,1.4,64.2,87.1,89.3,1.3,1.4,13.2,4.6,4,1.2,0.1,9.4,10,97.7,96.2,0,22.8,6.6,8.9,24.9,11.9
MADISON CREEK PARTNERS,328,13,2,0,0,2,15.4,100,0,0,3.2,2.9,3.3,4.1,3.5,3.3,0.6,46.8,45.3,0.6,10,0.8,142669,10974.5,2,0.2,23.6,12.1,1.1,0.6,44.1,87.1,77.8,1.6,1.8,24.5,2.4,3.3,0.4,0.2,10.8,9.6,96.8,91.6,0,13.2,4.7,4.2,13.1,10.6
VOLUNTEERS OF AMERICA SENIOR LIVING,554,6,3,1,1,1,16.7,0,100,0,3.2,2.8,4.2,3.4,4.5,4,1.3,48.6,45.9,1,6,1,108537,18089.5,3,0.5,24.5,11.7,1.3,2.2,64,88.1,92.8,1.6,1.7,16,4.9,4.8,2.6,1.8,20.6,21.5,97,98.1,0,22.5,5,2.7,15.3,10.1
KISSITO HEALTHCARE,302,6,1,0,0,0,0,66.7,33.3,0,4.3,4,3.2,3.8,4,3.5,0.9,43.1,28,0.3,3,0.5,31380,5230,0,0,21.6,10.1,1.1,4.8,65.8,91.8,92.1,1.8,2,12.4,5.3,7.6,1.5,0.2,14.8,14,99.4,99.1,0,22.5,5.6,4.4,34.5,10.6
CIENA HEALTHCARE/LAUREL HEALTH CARE,144,82,4,0,2,9,11,100,0,0,2.8,2.5,3.2,4,3.6,3.2,0.6,42.1,41.7,0.3,69,0.8,2859157,34867.8,21,0.3,23.5,11.2,1.1,2.7,53,79.9,82.1,1.9,1.5,12.6,2.8,5.1,1,0.5,11.4,9.6,93.2,94.3,0.1,23.4,6.4,6.3,20.7,10.8
