Chain,"Chain ID","Number of facilities","Number of states and territories with operations","Number of Special Focus Facilities (SFF)","Number of SFF candidates","Number of facilities with an abuse icon","Percentage of facilities with an abuse icon","Percent of facilities classified as for-profit","Percent of facilities classified as non-profit","Percent of facilities classified as government-owned","Average overall 5-star rating","Average health inspection rating","Average staffing rating","Average quality rating","Average total nurse hours per resident day","Average total weekend nurse hours per resident day","Average total Registered Nurse hours per resident day","Average total nursing staff turnover percentage","Average Registered Nurse turnover percentage","Average number of administrators who have left the nursing home","Total number of fines","Average number of fines","Total amount of fines in dollars","Average amount of fines in dollars","Total number of payment denials","Average number of payment denials","Average percentage of short-stay residents who were re-hospitalized after a nursing home admission","Average percentage of short-stay residents who have had an outpatient emergency department visit","Average percentage of short-stay residents who newly received an antipsychotic medication","Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened","Average percentage of short-stay residents who are at or above an expected ability to care for themselves and move around at discharge","Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days","Average percentage of long-stay residents who received an antipsychotic medication","Average percentage of long-stay residents experiencing one or more falls with major injury","Average percentage of long-stay residents with pressure ulcers","Average percentage of long-stay residents with a urinary tract infection","Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder","Average percentage of long-stay residents whose ability to move independently worsened","Average percentage of long-stay residents whose need for help with activities of daily living has increased","Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average percentage of long-stay residents who were physically restrained","Average percentage of long-stay residents with new or worsened bowel or bladder incontinence","Average percentage of long-stay residents who lose too much weight","Average percentage of long-stay residents who have symptoms of depression","Average percentage of long-stay residents who used antianxiety or hypnotic medication","Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF"
National,"",14709,53,86,440,1466,10,73.9,19.5,6.5,3,2.8,2.9,3.7,3.9,3.4,0.7,46.1,43.3,0.5,13711,0.9,459063375,31226.68,2470,0.2,23.8,12,1.5,2.4,55,79.8,81.8,1.9,1.8,15.5,3.3,4.9,1.6,0.9,15.4,14.4,95.5,93.4,0.1,19.4,5.3,12.1,19.5,10.8
"603 HEALTHCARE",826,7,2,0,0,0,0,100,0,0,3,3,3.6,2.6,3.9,3.4,1,42.5,37.4,0.4,4,0.6,58370,8338.57,0,0,26.7,14.4,2.2,2.8,52.8,86.5,87.4,1.7,2.2,19.2,4.4,4.6,1.7,1.5,16.6,19,96.8,98.8,0.1,23.5,4.7,34.3,18.9,10.9
"AARON MAYER",862,6,1,0,0,1,16.7,100,0,0,3.3,2.7,3.3,4.5,4.3,3.8,0.4,38.9,45,0.8,6,1,136201,22700.17,2,0.3,23.8,10.5,1.8,0.8,68.8,95,99.1,2.7,1.2,15.9,0.6,4.5,0.9,0.5,9.4,12.3,99.6,99.8,0,11.1,4.3,6.2,9.5,10.8
"ABRAHAM BAK & MENACHEM GASTWIRTH",4,16,1,0,1,4,25,93.8,0,6.3,2.5,2.4,3.3,3.4,4.6,4.1,0.5,35,29.5,0.1,11,0.7,293545,18346.56,3,0.2,25.7,8.5,4.6,0.6,56.6,97.7,97.4,2.8,1.4,15.7,1.6,5.6,1.6,0.4,9.1,14.1,99.6,99.7,0,10.7,4.3,21,15.5,11.1
"ABRAHAM SMILOW",808,7,1,0,0,2,28.6,100,0,0,1.6,1.6,2.1,3.1,3.4,3.2,0.6,46.8,47.5,0.6,5,0.7,321824,45974.86,0,0,24.5,11,1.3,2.8,39.6,50.3,62.2,1.5,1,20.4,2.6,5,2.3,1.1,24.7,23.3,79.2,79.4,0,27.2,7.2,10.6,21.9,11
"ABSOLUT CARE",6,5,1,0,0,0,0,100,0,0,3.4,3.4,2.6,4.2,3.4,2.9,0.4,49.4,36.5,0.4,1,0.2,8281,1656.2,0,0,21.4,7.6,1,2.7,57.8,79,78,1.2,1.3,21.4,3.7,4.3,0.8,0.4,12.7,13,92.8,96.6,0,16.3,6.3,3.7,21.3,11
"ACCELA HEALTHCARE",733,4,2,0,0,0,0,100,0,0,2,1.8,1.8,4.3,3.2,2.9,0.3,75.7,75.7,0.3,9,2.3,145713,36428.25,0,0,21.6,8.3,1.2,1.2,62.5,50.3,46,2,1.3,10,2.2,5.5,0.8,0.4,8.2,9.6,80.9,71.6,0,18.5,6.6,26.9,17.7,10.7
"ACCOLADE HEALTHCARE",7,7,1,0,0,0,0,85.7,0,14.3,2.7,3,1.6,3.4,3.6,3.3,0.7,50.4,43.8,0.2,16,2.3,492052,70293.14,2,0.3,29.7,15.2,1,1.9,60.9,81.9,81.9,2,1.8,10.3,2.8,5.8,0.9,0.8,19.8,19.2,95.7,95.9,0,23.5,8.4,45.1,15,11.7
"ACCURA HEALTHCARE",8,42,4,0,0,2,4.8,100,0,0,2.5,2.4,3.2,2.8,3.6,3.2,0.7,42.3,49.7,0.6,23,0.5,527392,12556.95,10,0.2,21.6,15.8,2.5,1.6,57.5,76.1,84,1.6,2.5,21.7,3.8,4.3,2.9,1.4,23.6,21.6,95.9,90.6,0.1,28.2,5.6,3.7,21.5,10.5
"ACTS RETIREMENT-LIFE COMMUNITIES",9,27,9,0,0,1,3.7,0,100,0,4.7,4.4,4.8,4.4,4.4,4.1,1.3,23.3,28,0.4,2,0.1,33770,1250.74,0,0,24.2,13.4,0.7,2.5,66.5,96.6,92.7,2,1.1,9.7,3.4,5.9,2.7,1.5,16.6,17.3,98,96.8,0,19.4,4.9,0.2,18.1,11.2
