entity_id,canonical_entity_name,first_seen_period,last_seen_period,num_periods,chain_id
006AFE4AA29ABFBF,ADVANCED HEALTH CARE MANAGEMENT,2025-11,2025-11,1,12.0
00939AD687BD75BD,SOVEREIGN HEALTHCARE HOLDINGS,2025-11,2025-11,1,482.0
0151327834383A42,P&M MANAGEMENT,2025-11,2025-11,1,655.0
023CB05BFC4095F2,CITADEL HEALTHCARE,2025-11,2025-11,1,147.0
026AF3A8CEBCE83B,ARABELLA HEALTHCARE MANAGEMENT,2025-11,2025-11,1,633.0
02E7AD5BEAC16BFD,AVINA HEALTHCARE,2025-11,2025-11,1,819.0
03508E057B65CF42,NORTH COUNTRY ASSOCIATES,2025-11,2025-11,1,375.0
03725FC5F695AA9C,HELENE MAYER,2025-11,2025-11,1,727.0
03B1755439919656,LANTIS ENTERPRISES,2025-11,2025-11,1,304.0
045D093EA2AE518C,CENTERS HEALTH CARE,2025-11,2025-11,1,127.0
04A2D766961A6106,TRANSITIONS HEALTHCARE,2025-11,2025-11,1,627.0
05001C209FB5F35D,AMERICAN BAPTIST HOMES OF THE MIDWEST,2025-11,2025-11,1,29.0
0673248154087D1A,EDURO HEALTHCARE,2025-11,2025-11,1,193.0
06EF7DC931C2B9FB,COMMONSPIRIT HEALTH,2025-11,2025-11,1,151.0
074D30398BD6441E,AVIATA HEALTH GROUP,2025-11,2025-11,1,745.0
07AF4DEBC32EFAFF,FREEDOM MANAGEMENT COMPANY,2025-11,2025-11,1,228.0
0898A735B87C17CC,PIONEER HEALTHCARE MANAGEMENT,2025-11,2025-11,1,403.0
08F432B8D329247F,"UNLIMITED DEVELOPMENT, INC.",2025-11,2025-11,1,536.0
091C56CD0C9FA483,ACCOLADE HEALTHCARE,2025-11,2025-11,1,7.0
09310938CA320E93,NATIONAL LUTHERAN COMMUNITIES & SERVICES,2025-11,2025-11,1,365.0
09A8D68F73387437,VANTAGE CARE,2025-11,2025-11,1,669.0
0AA344B65E3691F3,AVENTURA HEALTH GROUP,2025-11,2025-11,1,60.0
0B15664E8730DC60,ICARE HEALTH NETWORK,2025-11,2025-11,1,277.0
0B73B562FEE46E78,CONHOLD,2025-11,2025-11,1,720.0
0C3492F47E9C7C16,VOLUNTEERS OF AMERICA SENIOR LIVING,2025-11,2025-11,1,554.0
0C3D1AB4BFC4521C,LIFE CARE CENTERS OF AMERICA,2025-11,2025-11,1,311.0
0CAF2BFE783408CD,COMMONWEALTH CARE OF ROANOKE,2025-11,2025-11,1,152.0
0D5E9FF5AFF3E558,MARQUIS COMPANIES,2025-11,2025-11,1,335.0
0DB8AC795FB218F2,CHAMBERS COUNTY PUBLIC HOSPITAL DISTRICT NO. 1,2025-11,2025-11,1,133.0
0EA19F21CCF1F59E,FRANCISCAN COMMUNITIES,2025-11,2025-11,1,227.0
0F9E30E3AD2DEF25,TREND CONSULTANTS,2025-11,2025-11,1,522.0
0FAB5D6035A67E2D,FLORIDA INSTITUTE FOR LONG-TERM CARE,2025-11,2025-11,1,223.0
0FFCCFBE0322ED61,MISSISSIPPI CARE CENTER,2025-11,2025-11,1,357.0
1012858735BE5010,AUTUMN LAKE HEALTHCARE,2025-11,2025-11,1,56.0
101748E2A514C6EB,GENESIS HEALTHCARE,2025-11,2025-11,1,237.0
103D79DDD2CE1ED7,STERN CONSULTANTS,2025-11,2025-11,1,661.0
10D543BFF0C29D75,EMPIRE CARE CENTERS,2025-11,2025-11,1,202.0
11D380EE25EE5A31,HOMEWOOD RETIREMENT CENTERS,2025-11,2025-11,1,273.0
122E3D620405EC32,SHAFIQ MALIK,2025-11,2025-11,1,794.0
1247C11768070CDA,ABSOLUT CARE,2025-11,2025-11,1,6.0
1309409AA7688778,BONAMOUR HEALTH GROUP,2025-11,2025-11,1,576.0
136730BEF6E45B40,WELLINGTON HEALTH CARE SERVICES,2025-11,2025-11,1,559.0
13B040E450FD2D3C,DIVINE HEALTHCARE MANAGEMENT,2025-11,2025-11,1,186.0
13B23E7CE435AA39,HCA HEALTHCARE,2025-11,2025-11,1,701.0
13F331FC0B6DBD6E,SAPPHIRE CARE GROUP,2025-11,2025-11,1,590.0
144BFAF340579A74,AHMC HEALTHCARE,2025-11,2025-11,1,18.0
14B0654AD37C968B,SHIMON LEFKOWITZ,2025-11,2025-11,1,795.0
1532BFA967535795,SUNTERRA SPRINGS,2025-11,2025-11,1,499.0
1658205DC6D2CF9A,PRESTON HEALTH SERVICES,2025-11,2025-11,1,702.0
167A0E925BB564AF,JONATHAN BLEIER,2025-11,2025-11,1,765.0
173021B51D0B9EA1,CONTINUUM HEALTHCARE,2025-11,2025-11,1,161.0
177A00B2C199DA17,HERITAGE OPERATIONS GROUP,2025-11,2025-11,1,651.0
17D80701EDFCE042,ATRIUM CENTERS,2025-11,2025-11,1,54.0
1888DB698BE05CE8,CLEAR CHOICE HEALTHCARE,2025-11,2025-11,1,149.0
18F0E8586771A972,THE BEEBE FAMILY,2025-11,2025-11,1,779.0
1921CD7D24E1EA24,VIVO HEALTHCARE,2025-11,2025-11,1,688.0
1948AD9383A9C5BD,UPSTATE SERVICES GROUP,2025-11,2025-11,1,538.0
19B54A9FE38A19BD,KISCO SENIOR LIVING,2025-11,2025-11,1,585.0
19C000ECC2721117,"CLINICAL SERVICES, INC.",2025-11,2025-11,1,810.0
1B47B38942029F6D,HAWAII HEALTH SYSTEMS CORPORATION,2025-11,2025-11,1,250.0
1B66D6440319E853,ADAMS COUNTY MEMORIAL HOSPITAL,2025-11,2025-11,1,10.0
1BCAB44EFACC2B0F,PRESBYTERIAN SENIOR LIVING,2025-11,2025-11,1,415.0
1BED0A834F13BEBA,"BVHC, LLC",2025-11,2025-11,1,82.0
1C698CB789DEF59E,SWEETWATER CARE,2025-11,2025-11,1,500.0
1C7DAA48CB137000,ELIYAHU MIRLIS,2025-11,2025-11,1,710.0
1CE51084592AAA2B,ALLIANCE HEALTH GROUP,2025-11,2025-11,1,714.0
1D0CCAA85FDA4469,PRIME HEALTHCARE,2025-11,2025-11,1,420.0
1D52E43A9F8C2FC6,ASPEN SKILLED HEALTHCARE,2025-11,2025-11,1,50.0
1D5CCF47EA8CDF37,IHS MANAGEMENT CONSULTANTS,2025-11,2025-11,1,280.0
1D8C30D871F4D8BF,KENDAL,2025-11,2025-11,1,653.0
1DC1A9E416850AE5,CONCORDIA LUTHERAN MINISTRIES,2025-11,2025-11,1,573.0
1E67247603B167F7,STERLING CARE,2025-11,2025-11,1,492.0
1FD4B26773B897B0,BJC HEALTHCARE,2025-11,2025-11,1,783.0
2014F0883249D2AB,PROVIDENCE HEALTH & SERVICES,2025-11,2025-11,1,430.0
20D827E0E18C6EE4,BOOKER HOSPITAL DISTRICT,2025-11,2025-11,1,587.0
20F397B894EFD283,ROCHESTER REGIONAL HEALTH,2025-11,2025-11,1,454.0
2130115E1A5378AE,COVENANT LIVING,2025-11,2025-11,1,168.0
217DF9CF6B6C04E8,NORBERT BENNETT & DONALD DENZ,2025-11,2025-11,1,771.0
21E47DA7B961B3D7,EMBASSY HEALTHCARE,2025-11,2025-11,1,199.0
224675E17631B7C6,PRESTIGE ADMINISTRATIVE SERVICES,2025-11,2025-11,1,416.0
22BE5ED49A884D77,CASSENA CARE,2025-11,2025-11,1,119.0
22C56E1DB0448911,CAMBRIDGE HEALTHCARE SERVICES,2025-11,2025-11,1,98.0
237CB8FEC7B717AC,TRINITY HEALTH,2025-11,2025-11,1,525.0
23B18C6931701A70,AMBASSADOR HEALTH,2025-11,2025-11,1,28.0
240FC2D1B1D7B1CB,PARADIGM SENIOR MANAGEMENT,2025-11,2025-11,1,623.0
250F62FD7CF72736,RIVERS EDGE OPERATIONS,2025-11,2025-11,1,668.0
254FBBD068A01F4D,CREATIVE SOLUTIONS IN HEALTHCARE,2025-11,2025-11,1,169.0
25D4042109183B7B,EDEN EAST HEALTHCARE MANAGEMENT,2025-11,2025-11,1,754.0
