owner_name,associate_id,facility_count,active_facility_count,flags,classification,reason
County of Sullivan,0143114439,1,1,"network,affiliated,operator_grouping",index,"single_facility_with_context:network,affiliated,operator_grouping"
Richard Park,0143127399,6,6,"abuse,portfolio,network",index,two_or_more_active_facilities
Seneca Nursing and Rehabilitation,0143130336,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
"Sovereign Healthcare of Jacksonville, LLC",0143131458,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
"Pelham Parkway Nursing Care & Rehabilitation Facility, LLC",0143137760,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Trinitas Regional Medical Center,0143138016,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Riverwood Center LLC,0143139188,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Episcopal Church Home & Affiliates Life Care Community Inc,0143204925,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
William L Mack,0143253666,2,2,"portfolio,network",index,two_or_more_active_facilities
"Hearthstone Senior Communities, Inc.",0143260281,8,8,"abuse,sffc,portfolio,network",index,two_or_more_active_facilities
D & N LLC,0143270934,8,7,"abuse,sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
Miriam Minzer,0143272518,1,1,"abuse,network",index,"single_facility_with_context:abuse,network"
Stephen Hardy,0143274035,1,1,network,index,single_facility_with_context:network
Polina Khanina,0143280446,1,1,network,index,single_facility_with_context:network
Salman N Abbasey,0143282152,1,1,network,index,single_facility_with_context:network
Brightview Nursing & Retirement Center Ltd.,0143291047,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Venkatesh P Nagalapadi,0143291708,3,3,"portfolio,network",index,two_or_more_active_facilities
Mark Pass,0143296558,2,2,"portfolio,network",index,two_or_more_active_facilities
Robert N Baskin,0143303255,1,1,network,index,single_facility_with_context:network
Glens Falls Crossings LLC,0143312736,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Thomas Russo,0143317875,1,1,network,index,single_facility_with_context:network
Mark Murphy,0143319962,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
South Mountain Healthcare and Rehabilitation Center,0143361626,1,1,"sffc,affiliated,operator_grouping",index,"single_facility_with_context:sffc,affiliated,operator_grouping"
John J Hennessey,0143362525,2,2,"portfolio,network",index,two_or_more_active_facilities
Zissy Indig,0143371179,1,1,network,index,single_facility_with_context:network
William Gormley,0143384263,1,1,network,index,single_facility_with_context:network
Jeffrey D Bomberger,0143388686,14,14,"abuse,sffc,portfolio,network",index,two_or_more_active_facilities
"Niagara Lutheran Development, Inc.",0143393579,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Patricia Evangelista,0143398495,1,1,"abuse,network",index,"single_facility_with_context:abuse,network"
Sub Acute Rehabilitation Center at Kearny LLC,0143403220,1,1,"network,affiliated,operator_grouping",index,"single_facility_with_context:network,affiliated,operator_grouping"
Travis Reed,0143412510,1,1,network,index,single_facility_with_context:network
Erickson Living Holdings LLC,0143457481,3,3,"multi_state,portfolio,network",index,two_or_more_active_facilities
Palm Garden of Gainesville LLC,0143458794,1,1,"affiliated,operator_grouping",index,"single_facility_with_context:affiliated,operator_grouping"
Rolando Dominguez Mustafa,0143472225,1,1,network,index,single_facility_with_context:network
Aaron Schlosser,0143477323,1,1,network,index,single_facility_with_context:network
Gradita Teahan,0143479253,1,1,network,index,single_facility_with_context:network
Heriberto Fernandez,0143480020,2,2,"abuse,portfolio,network",index,two_or_more_active_facilities
Jeannine M Richman,0143483230,2,2,"multi_state,portfolio,network",index,two_or_more_active_facilities
Richard Henwood,0143488015,2,2,"portfolio,network",index,two_or_more_active_facilities
LV Investment LLC,0143489120,11,11,"sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
Gerald Yuska,0143495184,1,1,,noindex_follow,single_facility_no_context
Jonathan Gewirtz,0143496398,18,18,"abuse,sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
Prudential Huntoon Paige Associates Ltc Isaoa,0143497321,2,2,"multi_state,portfolio,network",index,two_or_more_active_facilities
Gloria D Martini,0143506980,1,1,network,index,single_facility_with_context:network
Heidi Tucker,0143511378,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Ctw Capital LLC,0143512285,1,1,network,index,single_facility_with_context:network
Herbert Tuchman Estate,0143513747,1,1,network,index,single_facility_with_context:network
Solaris Healthcare Pensacola LLC,0143521716,1,1,"network,affiliated,operator_grouping",index,"single_facility_with_context:network,affiliated,operator_grouping"
Jupiter Fl Ventures LLC,0143527457,1,1,network,index,single_facility_with_context:network
Zakiya Moyenda,0143537563,1,1,network,index,single_facility_with_context:network
Avi Philipson,0143542514,7,7,"abuse,sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
Stephen Pietrowski,0143556639,2,2,"portfolio,network",index,two_or_more_active_facilities
David Simcha Roll,0143560730,1,1,network,index,single_facility_with_context:network
Debbie Korngut,0143560979,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Martin Chopp,0143561829,8,8,"abuse,sff,multi_state,portfolio,network",index,two_or_more_active_facilities
Marnc Operating LLC,0143563452,1,1,"network,affiliated,operator_grouping",index,"single_facility_with_context:network,affiliated,operator_grouping"
Wanda Hines Mcgriff,0143565184,1,1,network,index,single_facility_with_context:network
Katherine E Cole,0143573170,1,1,network,index,single_facility_with_context:network
Sarah Bonner,0143574970,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Ivonne Moran-burrell,0143576991,1,1,network,index,single_facility_with_context:network
S&J Operational LLC,0143577155,1,1,"network,affiliated,operator_grouping",index,"single_facility_with_context:network,affiliated,operator_grouping"
Michelle Farmer,0143577932,3,3,"portfolio,network",index,two_or_more_active_facilities
Adil Manzoor,0143580209,1,1,network,index,single_facility_with_context:network
James Coleman,0143583088,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Stanley Gee,0143583096,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Christopher J O'brien,0143585125,1,1,"abuse,network",index,"single_facility_with_context:abuse,network"
David Shaker,0143585174,2,2,"sffc,portfolio,network",index,two_or_more_active_facilities
Nachum Schlaff,0143587170,22,22,"sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
Center for Disability Service Holding Corporation,0143591958,1,1,"sffc,network,affiliated,operator_grouping",index,"single_facility_with_context:sffc,network,affiliated"
Julie Edmunds Smith,0143600379,1,1,network,index,single_facility_with_context:network
North Nursing and Rehab LLC,0143605808,1,1,"sffc,network,affiliated,operator_grouping",index,"single_facility_with_context:sffc,network,affiliated"
Palatka Nursing and Rehab Holdings LLC,0143609149,1,1,"sff,network",index,"single_facility_with_context:sff,network"
Wg Equities LLC,0143609990,1,1,"sffc,network",index,"single_facility_with_context:sffc,network"
Matthew D Drake,0143612861,1,1,network,index,single_facility_with_context:network
Tony Peter Ospina,0143613570,1,1,network,index,single_facility_with_context:network
Marja Coons-torn,0143623652,1,1,network,index,single_facility_with_context:network
Marissa Mcdougal,0143624353,1,1,network,index,single_facility_with_context:network
Complete Care at Waterview LLC,0143628412,1,1,"sffc,network,affiliated,operator_grouping",index,"single_facility_with_context:sffc,network,affiliated"
Parkside Operations Holdings LLC,0143630699,1,1,network,index,single_facility_with_context:network
Angela Ann Hauser,0143631762,1,1,network,index,single_facility_with_context:network
Westgate Operations Associates LLC,0143639658,1,1,"sff,network,affiliated,operator_grouping",index,"single_facility_with_context:sff,network,affiliated"
Timothy R Barnhart,0143653022,1,1,network,index,single_facility_with_context:network
John Belanus,0143660787,1,1,network,index,single_facility_with_context:network
Agrp 2011 Trust,0143667147,12,12,"sffc,multi_state,portfolio,network",index,two_or_more_active_facilities
13TH Road Parent LLC,0143672709,1,1,network,index,single_facility_with_context:network
"Capri Operations, LLC",0143674226,1,1,"sffc,network,affiliated,operator_grouping",index,"single_facility_with_context:sffc,network,affiliated"
Williston Nursing Holdco LLC,0143675876,1,1,network,index,single_facility_with_context:network
Courtney Karl,0143677716,1,1,network,index,single_facility_with_context:network
Russel N Sharp,0143686238,16,16,"abuse,multi_state,portfolio,network",index,two_or_more_active_facilities
Gilad Diamond,0143686758,2,2,"portfolio,network",index,two_or_more_active_facilities
Sharla Narcisse,0143686931,1,1,network,index,single_facility_with_context:network
