Provider Number,Facility Name,Address,City,State,Zip,Phone Number,Most Recent Inspection,Met Survey Criteria,Months as an SFF
015463,Knollwood Healthcare,3151-A Knollwood Drive,Mobile,AL,36693,251-661-7608,09/11/2025,Met,19
045421,Ashley Rehabilitation And Health Care Center,2600 N 22nd Street,Rogers,AR,72756,479-899-6778,12/12/2025,Met,6
035255,Palm Valley Post Acute,13575 West Mcdowell Road,Goodyear,AZ,85395,623-536-9911,01/29/2026,Met,16
055189,Greenfield Care Center Of Fairfield,1260 Travis Blvd,Fairfield,CA,94533,707-425-0669,09/11/2025,Not Met,13
555330,Riverside Postacute Care,8781 Lakeview Avenue,Riverside,CA,92509,951-685-1531,09/12/2025,Not Met,23
055870,Sunray Healthcare Center,3210 W Pico Blvd,Los Angeles,CA,90019,323-734-2171,11/18/2025,Not Met,17
555565,Artesia Palms Care Center,11900 E. Artesia Blvd.,Artesia,CA,90701,562-865-0271,12/11/2025,Met,47
055858,Rancho Seco Care Center,144 F Street,Galt,CA,95632,209-745-1537,01/08/2026,Met,3
056487,Rio Hondo Subacute & Nursing Center,273 E Beverly Boulevard,Montebello,CA,90640,323-724-5100,02/10/2026,Not Met,17
065327,Juniper Village - The Spearly Center,2205 W 29th Ave,Denver,CO,80211,303-458-1112,12/04/2025,Met,13
075182,Grandview Rehabilitation And Healthcare Center,55 Grand Street,New Britain,CT,06052,860-223-3617,12/05/2025,Met,44
085010,Milford Center,700 Marvel Road,Milford,DE,19963,302-422-3303,11/17/2025,Met,7
105688,Aventura At The Bay,10300 4th St N,Saint Petersburg,FL,33716,727-576-1025,08/28/2025,Not Met,9
105672,Gulf Coast Village,1333 Santa Barbara Blvd,Cape Coral,FL,33991,239-772-1333,11/20/2025,Not Met,18
105269,Groves Center,512 S 11th St,Lake Wales,FL,33853,863-676-8502,02/04/2026,Not Met,3
115270,Perimeter Rehabilitation Suites By Harborview,"5470 Meridian Mark Road, Bld",Atlanta,GA,30342,404-256-5131,11/17/2025,Met,2
115585,Legacy Transitional Care & Rehabilitation,460 Auburn Avenue N.E.,Atlanta,GA,30312,404-523-1613,01/09/2026,Met,32
