Provider Number,Facility Name,Address,City,State,Zip,Phone Number,Date of Graduation,Months as an SFF
015217,Birmingham Nursing And Rehabilitation Ctr Llc,1000 Dugan Avenue,Birmingham,AL,35214,205-798-8780,08/29/2024,19
015144,The Healthcare Center At Buck Creek,"850 9th Street, Northwest",Alabaster,AL,35007,205-663-3859,12/19/2022,48
045287,Bear Creek Healthcare Llc,322 West Collin Raye Drive,De Queen,AR,71832,870-642-3562,11/07/2024,10
045259,The Blossoms At Woodland Hills Rehab & Nursing Cen,8701 Riley Drive,Little Rock,AR,72205,501-224-2700,01/13/2023,22
045432,The Springs Of Barrow,2600 John Barrow Road,Little Rock,AR,72204,501-224-4173,01/04/2024,34
045438,Trinity Village Medical Center,6400 Trinity Drive,Pine Bluff,AR,71603,870-879-3117,09/11/2025,10
035175,Desert Peak Care Center,8825 South 7th Street,Phoenix,AZ,85042,602-243-6121,12/07/2023,24
035146,Life Care Center Of Paradise Valley,4065 East Bell Road,Phoenix,AZ,85032,602-867-0212,10/10/2024,10
056078,Alta View Post Acute,831 S Lake Street,Los Angeles,CA,90057,213-380-9175,09/16/2024,31
555776,Gridley Post Acute,246 Spruce Street,Gridley,CA,95948,530-846-5671,04/15/2024,23
056435,Hyde Park Healthcare Center,6520 West Blvd.,Los Angeles,CA,90043,323-753-1354,09/12/2024,33
555772,Joshua Tree Post Acute,8515 Cholla Ave,Yucca Valley,CA,92284,760-853-4760,10/10/2024,23
055412,Vacaville Ranch Post Acute,101 S Orchard Ave,Vacaville,CA,95688,707-448-6458,01/30/2025,31
065232,Atlas Post Acute,2611 Jones Ave,Pueblo,CO,81004,719-564-1735,01/30/2025,23
065152,Sundance Skilled Nursing And Rehabilitation,2612 W Cucharras St,Colorado Springs,CO,80904,719-632-7474,02/01/2023,27
085012,Regency Healthcare & Rehab Center,801 N. Broom Street,Wilmington,DE,19806,302-654-8400,07/18/2025,35
106074,Aviata At Kissimmee Gardens,1120 W Donegan Ave,Kissimmee,FL,34741,407-847-2854,07/25/2024,22
105262,Blue Lake Post Acute,991 E New York Ave,Deland,FL,32724,386-734-9083,01/19/2023,22
105638,Parklands Care Center And Rehab,1000 Sw 16th Ave,Gainesville,FL,32601,352-376-2461,12/05/2023,11
105234,Rehabilitation And Healthcare Center Of Tampa,4411 N Habana Ave,Tampa,FL,33614,813-872-2771,06/23/2025,14
105407,Siesta Key Health And Rehabilitation Center,4602 Northgate Court,Sarasota,FL,34234,941-355-2913,11/13/2024,11
115654,Harmony Health And Rehabilitation,176 Lincoln Ave,Fitzgerald,GA,31750,229-423-5621,03/05/2024,11
115561,Meadowbrook Health And Rehab,4608 Lawrenceville Highway,Tucker,GA,30084,770-491-9444,02/07/2025,11
115635,River Brook Healthcare Center,390 Sweat Street,Homerville,GA,31634,912-487-5328,03/20/2023,48
125056,Hale Makua Health Services,1540 Lower Main Street,Wailuku,HI,96793,808-243-1722,07/09/2024,19
125019,The Care Center Of Honolulu,1900 Bachelot Street,Honolulu,HI,96817,808-531-5302,11/23/2022,31
165478,Arbor Court,701 East Mapleleaf Drive,Mount Pleasant,IA,52641,319-385-1400,05/01/2025,26
135146,Cascadia Of Boise,6000 W Denton St,Boise,ID,83704,208-629-4383,09/20/2024,15
135135,Life Care Center Of Post Falls,460 North Garden Plaza Court,Post Falls,ID,83854,208-777-0318,06/01/2023,13
135116,Royal Plaza Health And Rehabilitation Of Cascadia,2870 Juniper Drive,Lewiston,ID,83501,208-746-2855,06/02/2025,8
145180,Aperion Care Chicago Heights,490 West 16th Place,Chicago Heights,IL,60411,708-481-4444,02/24/2025,39
145950,Generations At Rock Island,2545 24th Street,Rock Island,IL,61201,309-788-0458,03/06/2023,33
145333,West Suburban Nursing & Rehab Center,311 Edgewater Drive,Bloomingdale,IL,60108,630-894-7400,06/27/2023,16
155826,Evergreen Crossing And The Lofts,5404 Georgetown Road,Indianapolis,IN,46254,317-291-5404,02/15/2024,26
155222,Kokomo Healthcare Center,429 W Lincoln Rd,Kokomo,IN,46902,765-453-5600,11/25/2024,14
155491,Majestic Care Of Connersville,1029 E 5th Street,Connersville,IN,47331,765-825-0543,09/04/2024,15
155389,Westpark A Waters Community,1316 N Tibbs Ave,Indianapolis,IN,46222,317-634-8330,05/23/2023,11
175335,Advena Living Of Cherryvale,1001 W Main Street,Cherryvale,KS,67335,620-336-2102,03/21/2024,11
185262,Madison Health And Rehabilitation Center,131 Meadowlark Drive,Richmond,KY,40475,859-623-3564,12/05/2024,21
195454,"Winnfield Nursing And Rehabilitation Center, Llc",915 1st Street,Winnfield,LA,71483,318-628-3533,11/03/2023,20
225063,Marlborough Hills Rehabilitation & Hlth Care Ctr,121 Northboro Road,Marlborough,MA,01752,508-485-4040,12/30/2022,20
225747,Somerset Ridge Center,455 Brayton Avenue,Somerset,MA,02726,508-679-2240,11/12/2024,22
225488,Tremont Rehabilitation & Skilled Care Center,605 Main Street,Wareham,MA,02571,508-295-1040,02/12/2025,14
215094,Westminster Healthcare Center,1234 Washington Road,Westminster,MD,21157,410-848-0700,04/10/2025,20
205077,"Augusta Center For Health & Rehabilitation, Llc",188 Eastern Ave,Augusta,ME,04330,207-622-3121,01/24/2025,10
205120,Waterville Center For Health And Rehab,7 Highwood St,Waterville,ME,04901,207-873-0705,08/25/2023,9
235532,Ashley Healthcare Center,103 West Wallace Street,Ashley,MI,48806,989-847-2011,02/26/2025,21
235654,The Orchards At Lapeer,239 South Main Street,Lapeer,MI,48446,810-664-6611,05/12/2023,30
235503,The Villa At Parkridge,28 S Prospect Street,Ypsilanti,MI,48198,734-483-2220,03/14/2024,29
245544,Victory Health & Rehabilitation Center,512 49th Avenue North,Minneapolis,MN,55430,612-529-7747,01/31/2025,58
255112,Pleasant Hills Com Liv Center,1600 Raymond Rd,Jackson,MS,39204,601-371-1700,01/14/2025,44
345420,Alamance Health Care Center,1987 Hilton Road,Burlington,NC,27217,336-226-0848,06/03/2024,21
345229,Peak Resources- Shelby,1101 North Morgan Street,Shelby,NC,28150,704-482-5396,12/19/2023,25
