Provider Number,Facility Name,Address,City,State,Zip,Phone Number,Months as an SFF Candidate
015406,ARABELLA HEALTH & WELLNESS OF GRAND BAY,13750 HIGHWAY 90 WEST,GRAND BAY,AL,36541,251-865-6443,4
015136,FALKVILLE REHABILITATION AND HEALTHCARE CENTER,10 WEST 3RD STREET,FALKVILLE,AL,35622,256-784-5291,2
015133,MAGNOLIA RIDGE,420 DEAN DRIVE,GARDENDALE,AL,35071,205-631-8709,4
015019,MERRY WOOD LODGE,280 MT HEBRON ROAD,ELMORE,AL,36025,334-567-8484,12
015408,"WALKER REHABILITATION CENTER, INC",350 NORTHEAST 4TH STREET,CARBON HILL,AL,35549,205-924-4404,10
045314,BARNES HEALTHCARE,1010 BARNES STREET,LONOKE,AR,72086,501-676-3700,2
045143,"CONCORDIA NURSING & REHAB, LLC",7 PROFESSIONAL DRIVE,BELLA VISTA,AR,72714,479-855-3735,4
045341,MEADOWVIEW HEALTHCARE AND REHAB,825 NORTH GASKILL,HUNTSVILLE,AR,72740,479-738-2021,11
045379,PINE BLUFF TRANSITIONAL CARE,6810 SOUTH HAZEL STREET,PINE BLUFF,AR,71603,870-541-0342,24
045456,PINK BUD HOME FOR THE GOLDEN YEARS,400 SO COKER,GREENWOOD,AR,72936,479-996-4125,5
035242,DR GUY GORMAN SR CARE HOME,HIGHWAY 191 & HOSPITAL ROAD,CHINLE,AZ,86503,928-674-5216,133
035016,HANDMAKER HOME FOR THE AGING,2221 NORTH ROSEMONT BOULEVARD,TUCSON,AZ,85712,520-881-2323,3
035217,REHAB AT SCOTTSDALE VILLAGE SQUARE,2620 NORTH 68TH STREET,SCOTTSDALE,AZ,85257,480-946-6571,11
035099,SANDSTONE OF TUCSON REHAB CENTRE,2900 EAST MILBER STREET,TUCSON,AZ,85714,520-294-0005,4
035254,WINSLOW CAMPUS OF CARE,826 WEST DESMOND STREET,WINSLOW,AZ,86047,928-289-4678,11
555456,ANTELOPE VALLEY CARE CENTER,44567 NORTH 15TH ST. WEST,LANCASTER,CA,93534,661-949-5524,11
555579,ARARAT NURSING FACILITY,15099 MISSION HILLS ROAD,MISSION HILLS,CA,91345,818-837-1800,11
055539,ARTESIA CHRISTIAN HOME INC.,11614 E. 183RD ST,ARTESIA,CA,90701,562-865-5210,9
056084,ASTORIA HEALTHCARE CENTER,14040 ASTORIA STREET,SYLMAR,CA,91342,818-367-5881,1
056023,AVALON VILLA CARE CENTER,12029 AVALON BLVD,LOS ANGELES,CA,90061,323-756-8191,2
055559,BAY CREST CARE CENTER,3750 GARNET STREET,TORRANCE,CA,90503,310-371-2431,4
055461,CALIFORNIA POST ACUTE,909 S LAKE STREET,LOS ANGELES,CA,90006,213-385-7301,22
055052,CALIFORNIA POST-ACUTE CARE,3615 E. IMPERIAL HIWY,LYNWOOD,CA,90262,310-639-4623,1
056043,COLONIAL CARE CENTER,1913 E 5TH STREET,LONG BEACH,CA,90802,562-432-5751,7
055077,CORAL COVE POST ACUTE,1730 GRAND AVE,LONG BEACH,CA,90804,562-597-8817,55
056296,CRESCENT CITY CARE CENTER,1280 MARSHALL STREET,CRESCENT CITY,CA,95531,707-464-6151,5
055932,"FOUR SEASONS HEALTHCARE & WELLNESS CENTER, LP",5335 LAUREL CANYON BLVD.,NORTH HOLLYWOOD,CA,91607,818-985-1814,4
555707,IMPERIAL CARE CENTER,11441 VENTURA BLVD,STUDIO CITY,CA,91604,818-980-8200,5
056063,INFINITY CARE OF EAST LOS ANGELES,101 S FICKETT STREET,LOS ANGELES,CA,90033,323-261-8108,4
056431,INLAND VALLEY CARE AND REHABILITATION CENTER,250 W. ARTESIA STREET,POMONA,CA,91768,909-623-7100,43
555099,LAKEWOOD HEALTHCARE CENTER,12023 LAKEWOOD BLVD.,DOWNEY,CA,90242,562-869-0978,1
555583,MACLAY HEALTHCARE CENTER,12831 MACLAY STREET,SYLMAR,CA,91342,818-361-4455,22
555115,MAJESTIC MOUNTAIN CARE CENTER,40131 HIGHWAY 49,OAKHURST,CA,93644,559-683-2244,3
555854,MESA GLEN CARE CENTER,638 E COLORADO AVENUE,GLENDORA,CA,91740,626-963-6091,6
056039,MIRAGE POST ACUTE,44445 15TH ST W,LANCASTER,CA,93534,661-948-7501,12
056120,NORTH BAY POST ACUTE,300 DOUGLAS STREET,PETALUMA,CA,94952,707-763-6887,2
