STATE,CY_Qtr,facility_count,avg_days_reported,total_resident_days,avg_daily_census,MDScensus,Total_Nurse_Hours,Total_RN_Hours,Total_Nurse_Care_Hours,Total_RN_Care_Hours,Total_Nurse_Assistant_Hours,Total_Contract_Hours,Total_Nurse_HPRD,RN_HPRD,Nurse_Care_HPRD,RN_Care_HPRD,Nurse_Assistant_HPRD,Contract_Percentage,Direct_Care_Percentage,Total_RN_Percentage,Nurse_Aide_Percentage,Total_Nurse_HPRD_Median,RN_HPRD_Median,Nurse_Care_HPRD_Median,RN_Care_HPRD_Median,Nurse_Assistant_HPRD_Median,Contract_Percentage_Median
AK,2025Q3,18,92.0,65716.0,39.7,714.3,392760.93,117859.34,370037.50000000006,96206.07,228178.99,47543.80999999999,5.9766408484996045,1.7934649096110535,5.630858542820623,1.463967222594193,3.472198399172196,12.105025313999535,94.214437265947,30.00790837316736,58.0961527919796,6.7368398503816636,2.0742230112215627,6.329884805355816,1.7737666405638215,,11.214904423476703
AL,2025Q3,223,92.0,1996241.0,97.3,21698.3,7817751.450000001,1223914.2999999998,7272744.430000003,840255.8399999997,5021555.029999997,69457.23000000001,3.916236291109141,0.6131094892851112,3.64321964632527,0.4209190373306628,2.5155054074132317,0.8884553371161473,93.02859622123192,15.65557958484341,64.23272806914315,3.944843726633767,0.6126768867924528,3.631501677852348,0.4218648984666392,,1.325733052427214
AR,2025Q3,218,92.0,1540436.0,76.8,16743.9,6321843.020000002,601782.0999999997,5802956.240000001,296285.4200000001,4257083.480000001,123490.79,4.103930977982858,0.3906569958115752,3.767086876702441,0.1923386755438071,2.7635575122887297,1.953398551803964,91.79215968573668,9.519092740774818,67.33927853842849,3.9770173201395647,0.3724314644756881,3.631399981993702,0.16232032864394236,,1.0607759686862948
AZ,2025Q3,139,92.0,1092377.0,85.4,11873.7,4432241.13,714855.4699999995,4138999.5100000016,522629.2300000001,2565856.720000001,131930.88,4.057428094879332,0.6544036262206175,3.788984489786953,0.4784330226652521,2.3488747199913598,2.976617835771945,93.3838974144442,16.12853292573456,57.89072942428115,3.8940803274494735,0.6194559520838532,3.603773938663452,0.4360170038743005,,2.8550241008528
CA,2025Q3,1139,92.0,9203962.0,87.8,100043.1,40098043.36000004,5238500.630000006,37730169.92999997,4105447.750000001,24051034.98000001,938819.6599999996,4.356606791727306,0.5691571336344072,4.099340037475162,0.4460522272908124,2.613117587838804,2.3413104015357598,94.09479058930305,13.064230049752735,59.98057003447758,4.227595961967369,0.4852384500745154,3.9640621885589007,0.36705577894518965,,1.8739748780234609
CO,2025Q3,208,92.0,1405964.0,73.5,15282.2,5062764.61,1079061.58,4731439.350000002,818015.6399999995,3020997.969999999,303754.3100000001,3.6009205143232688,0.767488769271475,3.365263513148276,0.5818183395876421,2.148702221394004,5.999771535892128,93.4556455706915,21.313682604730065,59.67091505761313,3.4430935963087235,0.7598441541766368,3.247866383272301,0.5463705640386004,,6.247660978236372
CT,2025Q3,192,92.0,1801710.0,102.0,19583.8,6748379.399999999,1113200.4200000002,6293997.42,727647.3999999999,4067206.599999998,423527.08,3.7455414023344487,0.6178577129504749,3.493346554106932,0.4038648839158354,2.257414678277857,6.275982052817008,93.26679854425494,16.495818536817897,60.26938260169543,3.751171749139751,0.5966880021971686,3.542550849324585,0.39747720583044377,,5.603446065933883
DC,2025Q3,17,92.0,188001.0,120.2,2043.5,810069.7100000002,226826.86000000004,733343.46,158996.04000000004,461410.2,32136.66,4.308858516710019,1.2065194334072693,3.9007423364769336,0.8457191185153272,2.454296519699363,3.96714746932088,90.52843859573515,28.00090624299481,56.95932020467718,4.617882172579939,1.2450885122410549,4.369662964381462,0.9844482109227876,,9.866406136216822
DE,2025Q3,43,92.0,353294.0,89.3,3840.2,1464387.47,294756.6500000001,1334249.88,181820.87,819083.6799999999,91613.12,4.144954259059027,0.834309809959977,3.776599319546893,0.5146446585563298,2.318419446693122,6.256071011041907,91.11317239009156,20.128323687445924,55.93353513192789,3.939512868885595,0.8075300546448085,3.659160463697376,0.5190758640545862,,5.790213473454086
FL,2025Q3,686,92.0,6782074.0,107.5,73718.2,25752394.21000002,4786878.420000005,24031891.500000007,3524581.5600000047,15690861.290000005,308665.11000000016,3.797126691628552,0.7058133573889056,3.543442831794523,0.5196908143438135,2.313578602946533,1.1985880127609303,93.319057265239,18.58809080415984,60.92971846441765,3.6776990938013965,0.6370105442569116,3.457568698053752,0.454276516281676,,0.9656035128897357
